日時,ステータス,経過秒数
2026-04-13 05:00:00,電源断,12700
2026-04-13 08:31:40,段取り,1060
2026-04-13 08:49:20,アラーム,40
2026-04-13 08:50:00,段取り,1490
2026-04-13 09:14:50,自動停止,70
2026-04-13 09:16:00,段取り,360
2026-04-13 09:22:00,自動停止,70
2026-04-13 09:23:10,段取り,70
2026-04-13 09:24:20,アラーム,10
2026-04-13 09:24:30,段取り,10
2026-04-13 09:24:40,アラーム,20
2026-04-13 09:25:00,段取り,10
2026-04-13 09:25:10,アラーム,80
2026-04-13 09:26:30,段取り,10
2026-04-13 09:26:40,アラーム,20
2026-04-13 09:27:00,段取り,10
2026-04-13 09:27:10,アラーム,20
2026-04-13 09:27:30,段取り,10
2026-04-13 09:27:40,アラーム,50
2026-04-13 09:28:30,段取り,40
2026-04-13 09:29:10,自動停止,30
2026-04-13 09:29:40,段取り,198
2026-04-13 09:32:57,パレチェン,10
2026-04-13 09:32:58,段取り,2
2026-04-13 09:33:00,自動起動,30
2026-04-13 09:33:30,自動停止,10
2026-04-13 09:33:40,自動起動,90
2026-04-13 09:35:10,自動停止,130
2026-04-13 09:37:20,自動起動,20
2026-04-13 09:37:40,自動停止,10
2026-04-13 09:37:50,自動起動,270
2026-04-13 09:42:20,自動停止,140
2026-04-13 09:44:40,自動起動,40
2026-04-13 09:45:20,自動停止,10
2026-04-13 09:45:30,自動起動,30
2026-04-13 09:46:00,自動停止,10
2026-04-13 09:46:10,自動起動,10
2026-04-13 09:46:20,段取り,40
2026-04-13 09:47:00,自動停止,10
2026-04-13 09:47:10,自動起動,370
2026-04-13 09:53:20,自動停止,160
2026-04-13 09:56:00,自動起動,246
2026-04-13 10:00:05,パレチェン,10
2026-04-13 10:00:06,自動起動,1347
2026-04-13 10:22:32,パレチェン,10
2026-04-13 10:22:33,自動起動,777
2026-04-13 10:35:30,自動停止,70
2026-04-13 10:36:40,自動起動,249
2026-04-13 10:40:48,パレチェン,10
2026-04-13 10:40:49,自動起動,551
2026-04-13 10:50:00,アラーム,30
2026-04-13 10:50:30,自動起動,10
2026-04-13 10:50:40,アラーム,90
2026-04-13 10:52:10,自動起動,30
2026-04-13 10:52:40,自動停止,20
2026-04-13 10:53:00,自動起動,33
2026-04-13 10:53:32,パレチェン,10
2026-04-13 10:53:33,自動起動,767
2026-04-13 11:06:20,自動停止,90
2026-04-13 11:07:50,自動起動,240
2026-04-13 11:11:50,自動停止,20
2026-04-13 11:12:10,段取り,100
2026-04-13 11:13:50,アラーム,180
2026-04-13 11:16:50,自動停止,40
2026-04-13 11:17:30,自動起動,30
2026-04-13 11:18:00,自動停止,10
2026-04-13 11:18:10,自動起動,20
2026-04-13 11:18:30,自動停止,40
2026-04-13 11:19:10,段取り,40
2026-04-13 11:19:50,自動停止,20
2026-04-13 11:20:10,自動起動,20
2026-04-13 11:20:30,自動停止,40
2026-04-13 11:21:10,自動起動,547
2026-04-13 11:30:16,パレチェン,10
2026-04-13 11:30:17,自動起動,773
2026-04-13 11:43:10,自動停止,20
2026-04-13 11:43:30,段取り,40
2026-04-13 11:44:10,自動起動,247
2026-04-13 11:48:16,パレチェン,10
2026-04-13 11:48:17,自動起動,5523
2026-04-13 13:20:20,自動停止,320
2026-04-13 13:25:40,段取り,190
2026-04-13 13:28:50,自動停止,330
2026-04-13 13:34:20,アラーム,20
2026-04-13 13:34:40,自動停止,10
2026-04-13 13:34:50,アラーム,10
2026-04-13 13:35:00,自動停止,30
2026-04-13 13:35:30,アラーム,80
2026-04-13 13:36:50,自動停止,30
2026-04-13 13:37:20,段取り,170
2026-04-13 13:40:10,自動停止,40
2026-04-13 13:40:50,自動起動,5
2026-04-13 13:40:54,パレチェン,10
2026-04-13 13:40:55,自動起動,15
2026-04-13 13:41:10,自動停止,40
2026-04-13 13:41:50,自動起動,10
2026-04-13 13:42:00,自動停止,10
2026-04-13 13:42:10,自動起動,140
2026-04-13 13:44:30,自動停止,20
2026-04-13 13:44:50,段取り,20
2026-04-13 13:45:10,自動起動,120
2026-04-13 13:47:10,段取り,30
2026-04-13 13:47:40,自動起動,60
2026-04-13 13:48:40,段取り,40
2026-04-13 13:49:20,自動起動,546
2026-04-13 13:58:25,パレチェン,10
2026-04-13 13:58:26,自動起動,751
2026-04-13 14:10:56,パレチェン,10
2026-04-13 14:10:57,自動起動,863
2026-04-13 14:25:19,パレチェン,10
2026-04-13 14:25:20,自動起動,540
2026-04-13 14:34:20,自動停止,20
2026-04-13 14:34:40,自動起動,1
2026-04-13 14:34:41,パレチェン,10
