日時,ステータス,経過秒数
2026-01-20 05:00:00,電源断,12240
2026-01-20 08:24:00,アラーム,680
2026-01-20 08:35:20,段取り,1370
2026-01-20 08:58:10,自動停止,10
2026-01-20 08:58:20,段取り,40
2026-01-20 08:59:00,自動停止,30
2026-01-20 08:59:30,段取り,40
2026-01-20 09:00:10,アラーム,40
2026-01-20 09:00:50,段取り,60
2026-01-20 09:01:50,自動停止,30
2026-01-20 09:02:20,段取り,220
2026-01-20 09:06:00,自動停止,20
2026-01-20 09:06:20,アラーム,10
2026-01-20 09:06:30,段取り,170
2026-01-20 09:09:20,自動起動,10
2026-01-20 09:09:30,自動停止,10
2026-01-20 09:09:40,自動起動,80
2026-01-20 09:11:00,自動停止,10
2026-01-20 09:11:10,自動起動,20
2026-01-20 09:11:30,自動停止,330
2026-01-20 09:17:00,自動起動,60
2026-01-20 09:18:00,自動停止,10
2026-01-20 09:18:10,自動起動,10
2026-01-20 09:18:20,自動停止,20
2026-01-20 09:18:40,自動起動,90
2026-01-20 09:20:10,自動停止,10
2026-01-20 09:20:20,自動起動,110
2026-01-20 09:22:10,自動停止,40
2026-01-20 09:22:50,自動起動,50
2026-01-20 09:23:40,自動停止,70
2026-01-20 09:24:50,段取り,40
2026-01-20 09:25:30,自動停止,10
2026-01-20 09:25:40,段取り,20
2026-01-20 09:26:00,自動停止,30
2026-01-20 09:26:30,自動起動,90
2026-01-20 09:28:00,自動停止,60
2026-01-20 09:29:00,自動起動,10
2026-01-20 09:29:10,自動停止,10
2026-01-20 09:29:20,自動起動,60
2026-01-20 09:30:20,自動停止,40
2026-01-20 09:31:00,自動起動,20
2026-01-20 09:31:20,段取り,50
2026-01-20 09:32:10,自動停止,10
2026-01-20 09:32:20,段取り,30
2026-01-20 09:32:50,自動停止,20
2026-01-20 09:33:10,自動起動,20
2026-01-20 09:33:30,段取り,20
2026-01-20 09:33:50,自動起動,450
2026-01-20 09:41:20,自動停止,30
2026-01-20 09:41:50,自動起動,350
2026-01-20 09:47:40,アラーム,80
2026-01-20 09:49:00,自動停止,40
2026-01-20 09:49:40,自動起動,970
2026-01-20 10:05:50,アラーム,920
2026-01-20 10:21:10,自動停止,110
2026-01-20 10:23:00,自動起動,960
2026-01-20 10:39:00,自動停止,20
2026-01-20 10:39:20,自動起動,960
2026-01-20 10:55:20,アラーム,30
2026-01-20 10:55:50,自動起動,990
2026-01-20 11:12:20,アラーム,10
2026-01-20 11:12:30,自動停止,20
2026-01-20 11:12:50,自動起動,960
2026-01-20 11:28:50,自動停止,30
2026-01-20 11:29:20,自動起動,960
2026-01-20 11:45:20,アラーム,40
2026-01-20 11:46:00,自動停止,40
2026-01-20 11:46:40,自動起動,970
2026-01-20 12:02:50,アラーム,2750
2026-01-20 12:48:40,自動停止,40
2026-01-20 12:49:20,自動起動,960
2026-01-20 13:05:20,アラーム,70
2026-01-20 13:06:30,自動停止,30
2026-01-20 13:07:00,自動起動,960
2026-01-20 13:23:00,アラーム,710
2026-01-20 13:34:50,自動停止,20
2026-01-20 13:35:10,自動起動,960
2026-01-20 13:51:10,アラーム,100
2026-01-20 13:52:50,自動停止,30
2026-01-20 13:53:20,自動起動,1680
2026-01-20 14:21:20,自動停止,90
2026-01-20 14:22:50,段取り,490
2026-01-20 14:31:00,自動起動,50
2026-01-20 14:31:50,自動停止,60
2026-01-20 14:32:50,自動起動,30
2026-01-20 14:33:20,自動停止,10
2026-01-20 14:33:30,段取り,60
2026-01-20 14:34:30,自動停止,10
2026-01-20 14:34:40,自動起動,40
2026-01-20 14:35:20,自動停止,40
2026-01-20 14:36:00,自動起動,30
2026-01-20 14:36:30,自動停止,10
2026-01-20 14:36:40,自動起動,80
2026-01-20 14:38:00,自動停止,10
2026-01-20 14:38:10,自動起動,30
2026-01-20 14:38:40,自動停止,30
2026-01-20 14:39:10,自動起動,1090
2026-01-20 14:57:20,段取り,30
2026-01-20 14:57:50,自動起動,6420
2026-01-20 16:44:50,アラーム,390
2026-01-20 16:51:20,自動停止,100
2026-01-20 16:53:00,アラーム,20
2026-01-20 16:53:20,自動停止,10
2026-01-20 16:53:30,アラーム,30
2026-01-20 16:54:00,自動停止,10
2026-01-20 16:54:10,アラーム,50
2026-01-20 16:55:00,自動停止,10
2026-01-20 16:55:10,アラーム,10
2026-01-20 16:55:20,自動停止,10
2026-01-20 16:55:30,アラーム,20
2026-01-20 16:55:50,自動停止,10
2026-01-20 16:56:00,アラーム,60
2026-01-20 16:57:00,自動停止,20
2026-01-20 16:57:20,段取り,230
2026-01-20 17:01:10,自動停止,30
2026-01-20 17:01:40,段取り,270
2026-01-20 17:06:10,自動停止,20
2026-01-20 17:06:30,自動起動,10
2026-01-20 17:06:40,自動停止,50
2026-01-20 17:07:30,自動起動,50
2026-01-20 17:08:20,自動停止,110
2026-01-20 17:10:10,自動起動,560
2026-01-20 17:19:30,アラーム,10
2026-01-20 17:19:40,自動停止,160
2026-01-20 17:22:20,自動起動,30
2026-01-20 17:22:50,自動停止,30
2026-01-20 17:23:20,段取り,60
2026-01-20 17:24:20,自動停止,10
2026-01-20 17:24:30,自動起動,10
2026-01-20 17:24:40,段取り,20
2026-01-20 17:25:00,自動起動,10
2026-01-20 17:25:10,自動停止,120
2026-01-20 17:27:10,自動起動,30
2026-01-20 17:27:40,自動停止,10
2026-01-20 17:27:50,自動起動,20
2026-01-20 17:28:10,自動停止,40
2026-01-20 17:28:50,自動起動,80
2026-01-20 17:30:10,自動停止,40
2026-01-20 17:30:50,自動起動,3640
2026-01-20 18:31:30,自動停止,10
2026-01-20 18:31:40,段取り,100
2026-01-20 18:33:20,自動起動,330
2026-01-20 18:38:50,自動停止,20
2026-01-20 18:39:10,自動起動,28910
2026-01-21 02:41:00,段取り,50
2026-01-21 02:41:50,電源断,8290
