日時,ステータス,経過秒数
2026-02-24 05:00:00,電源断,12390
2026-02-24 08:26:30,段取り,3290
2026-02-24 09:21:20,自動停止,10
2026-02-24 09:21:30,自動起動,10
2026-02-24 09:21:40,自動停止,10
2026-02-24 09:21:50,自動起動,10
2026-02-24 09:22:00,自動停止,20
2026-02-24 09:22:20,段取り,20
2026-02-24 09:22:40,自動停止,10
2026-02-24 09:22:50,段取り,30
2026-02-24 09:23:20,アラーム,220
2026-02-24 09:27:00,段取り,300
2026-02-24 09:32:00,自動起動,110
2026-02-24 09:33:50,自動停止,20
2026-02-24 09:34:10,段取り,210
2026-02-24 09:37:40,自動停止,20
2026-02-24 09:38:00,段取り,50
2026-02-24 09:38:50,自動起動,20
2026-02-24 09:39:10,自動停止,50
2026-02-24 09:40:00,段取り,220
2026-02-24 09:43:40,アラーム,260
2026-02-24 09:48:00,段取り,70
2026-02-24 09:49:10,自動停止,10
2026-02-24 09:49:20,段取り,210
2026-02-24 09:52:50,自動停止,10
2026-02-24 09:53:00,自動起動,70
2026-02-24 09:54:10,自動停止,10
2026-02-24 09:54:20,自動起動,50
2026-02-24 09:55:10,自動停止,20
2026-02-24 09:55:30,自動起動,40
2026-02-24 09:56:10,自動停止,160
2026-02-24 09:58:50,自動起動,10
2026-02-24 09:59:00,自動停止,70
2026-02-24 10:00:10,自動起動,140
2026-02-24 10:02:30,自動停止,50
2026-02-24 10:03:20,自動起動,670
2026-02-24 10:14:30,段取り,170
2026-02-24 10:17:20,アラーム,70
2026-02-24 10:18:30,段取り,30
2026-02-24 10:19:00,自動起動,230
2026-02-24 10:22:50,自動停止,40
2026-02-24 10:23:30,自動起動,150
2026-02-24 10:26:00,自動停止,10
2026-02-24 10:26:10,自動起動,520
2026-02-24 10:34:50,自動停止,30
2026-02-24 10:35:20,自動起動,630
2026-02-24 10:45:50,自動停止,30
2026-02-24 10:46:20,自動起動,710
2026-02-24 10:58:10,自動停止,10
2026-02-24 10:58:20,自動起動,630
2026-02-24 11:08:50,自動停止,20
2026-02-24 11:09:10,自動起動,640
2026-02-24 11:19:50,自動停止,40
2026-02-24 11:20:30,自動起動,620
2026-02-24 11:30:50,自動停止,40
2026-02-24 11:31:30,自動起動,790
2026-02-24 11:44:40,自動停止,90
2026-02-24 11:46:10,自動起動,620
2026-02-24 11:56:30,自動停止,40
2026-02-24 11:57:10,自動起動,630
2026-02-24 12:07:40,アラーム,2320
2026-02-24 12:46:20,自動停止,30
2026-02-24 12:46:50,自動起動,640
2026-02-24 12:57:30,自動停止,30
2026-02-24 12:58:00,自動起動,760
2026-02-24 13:10:40,自動停止,50
2026-02-24 13:11:30,自動起動,630
2026-02-24 13:22:00,自動停止,20
2026-02-24 13:22:20,自動起動,620
2026-02-24 13:32:40,自動停止,30
2026-02-24 13:33:10,自動起動,620
2026-02-24 13:43:30,自動停止,20
2026-02-24 13:43:50,自動起動,640
2026-02-24 13:54:30,自動停止,10
2026-02-24 13:54:40,自動起動,630
2026-02-24 14:05:10,自動停止,20
2026-02-24 14:05:30,自動起動,640
2026-02-24 14:16:10,アラーム,40
2026-02-24 14:16:50,自動起動,150
2026-02-24 14:19:20,自動停止,30
2026-02-24 14:19:50,自動起動,860
2026-02-24 14:34:10,アラーム,160
2026-02-24 14:36:50,自動起動,2990
2026-02-24 15:26:40,自動停止,220
2026-02-24 15:30:20,段取り,290
2026-02-24 15:35:10,自動停止,60
2026-02-24 15:36:10,段取り,10
2026-02-24 15:36:20,自動停止,70
2026-02-24 15:37:30,アラーム,30
2026-02-24 15:38:00,自動停止,10
2026-02-24 15:38:10,アラーム,20
2026-02-24 15:38:30,自動停止,10
2026-02-24 15:38:40,アラーム,10
2026-02-24 15:38:50,自動停止,10
2026-02-24 15:39:00,アラーム,30
2026-02-24 15:39:30,自動停止,10
2026-02-24 15:39:40,アラーム,10
2026-02-24 15:39:50,自動停止,30
2026-02-24 15:40:20,段取り,130
2026-02-24 15:42:30,自動停止,30
2026-02-24 15:43:00,自動起動,20
2026-02-24 15:43:20,自動停止,10
2026-02-24 15:43:30,自動起動,70
2026-02-24 15:44:40,自動停止,50
2026-02-24 15:45:30,自動起動,10
2026-02-24 15:45:40,自動停止,10
2026-02-24 15:45:50,自動起動,20
2026-02-24 15:46:10,段取り,20
2026-02-24 15:46:30,自動停止,10
2026-02-24 15:46:40,自動起動,1800
2026-02-24 16:16:40,自動停止,20
2026-02-24 16:17:00,自動起動,2210
2026-02-24 16:53:50,自動停止,10
2026-02-24 16:54:00,アラーム,10
2026-02-24 16:54:10,自動停止,20
2026-02-24 16:54:30,アラーム,100
2026-02-24 16:56:10,自動停止,10
2026-02-24 16:56:20,アラーム,10
2026-02-24 16:56:30,自動停止,10
2026-02-24 16:56:40,アラーム,30
2026-02-24 16:57:10,自動停止,80
2026-02-24 16:58:30,自動起動,630
2026-02-24 17:09:00,自動停止,60
2026-02-24 17:10:00,アラーム,130
2026-02-24 17:12:10,自動停止,20
2026-02-24 17:12:30,段取り,20
2026-02-24 17:12:50,自動停止,60
2026-02-24 17:13:50,自動起動,25700
2026-02-25 00:22:10,自動停止,30
2026-02-25 00:22:40,自動起動,1580
2026-02-25 00:49:00,段取り,80
2026-02-25 00:50:20,自動停止,10
2026-02-25 00:50:30,段取り,150
2026-02-25 00:53:00,自動停止,30
2026-02-25 00:53:30,自動起動,10
2026-02-25 00:53:40,自動停止,40
2026-02-25 00:54:20,段取り,30
2026-02-25 00:54:50,自動起動,50
2026-02-25 00:55:40,自動停止,50
2026-02-25 00:56:30,自動起動,6790
2026-02-25 02:49:40,段取り,580
2026-02-25 02:59:20,電源断,7240
