日時,ステータス,経過秒数
2026-05-08 05:00:00,電源断,9990
2026-05-08 07:46:30,自動停止,50
2026-05-08 07:47:20,自動起動,1150
2026-05-08 08:06:30,自動停止,540
2026-05-08 08:15:30,段取り,1680
2026-05-08 08:43:30,自動起動,40
2026-05-08 08:44:10,段取り,190
2026-05-08 08:47:20,自動起動,40
2026-05-08 08:48:00,段取り,30
2026-05-08 08:48:30,自動起動,80
2026-05-08 08:49:50,自動停止,70
2026-05-08 08:51:00,自動起動,10
2026-05-08 08:51:10,自動停止,10
2026-05-08 08:51:20,自動起動,40
2026-05-08 08:52:00,段取り,30
2026-05-08 08:52:30,自動起動,170
2026-05-08 08:55:20,自動停止,270
2026-05-08 08:59:50,自動起動,30
2026-05-08 09:00:20,自動停止,30
2026-05-08 09:00:50,自動起動,210
2026-05-08 09:04:20,自動停止,20
2026-05-08 09:04:40,段取り,10
2026-05-08 09:04:50,自動停止,10
2026-05-08 09:05:00,自動起動,30
2026-05-08 09:05:30,段取り,30
2026-05-08 09:06:00,自動起動,40
2026-05-08 09:06:40,自動停止,20
2026-05-08 09:07:00,自動起動,20
2026-05-08 09:07:20,段取り,110
2026-05-08 09:09:10,自動起動,70
2026-05-08 09:10:20,段取り,20
2026-05-08 09:10:40,自動起動,80
2026-05-08 09:12:00,自動停止,590
2026-05-08 09:21:50,段取り,70
2026-05-08 09:23:00,自動起動,100
2026-05-08 09:24:40,自動停止,40
2026-05-08 09:25:20,自動起動,240
2026-05-08 09:29:20,自動停止,20
2026-05-08 09:29:40,自動起動,200
2026-05-08 09:33:00,自動停止,30
2026-05-08 09:33:30,自動起動,160
2026-05-08 09:36:10,自動停止,170
2026-05-08 09:39:00,自動起動,350
2026-05-08 09:44:50,自動停止,10
2026-05-08 09:45:00,自動起動,350
2026-05-08 09:50:50,自動停止,190
2026-05-08 09:54:00,自動起動,700
2026-05-08 10:05:40,自動停止,550
2026-05-08 10:14:50,自動起動,700
2026-05-08 10:26:30,自動停止,850
2026-05-08 10:40:40,段取り,1090
2026-05-08 10:58:50,自動停止,10
2026-05-08 10:59:00,自動起動,40
2026-05-08 10:59:40,段取り,40
2026-05-08 11:00:20,自動起動,20
2026-05-08 11:00:40,自動停止,130
2026-05-08 11:02:50,自動起動,30
2026-05-08 11:03:20,自動停止,20
2026-05-08 11:03:40,自動起動,10
2026-05-08 11:03:50,自動停止,150
2026-05-08 11:06:20,自動起動,30
2026-05-08 11:06:50,自動停止,340
2026-05-08 11:12:30,自動起動,100
2026-05-08 11:14:10,自動停止,20
2026-05-08 11:14:30,自動起動,30
2026-05-08 11:15:00,自動停止,90
2026-05-08 11:16:30,自動起動,90
2026-05-08 11:18:00,自動停止,10
2026-05-08 11:18:10,自動起動,30
2026-05-08 11:18:40,自動停止,50
2026-05-08 11:19:30,自動起動,110
2026-05-08 11:21:20,自動停止,20
2026-05-08 11:21:40,自動起動,30
2026-05-08 11:22:10,自動停止,100
2026-05-08 11:23:50,自動起動,140
2026-05-08 11:26:10,自動停止,80
2026-05-08 11:27:30,自動起動,100
2026-05-08 11:29:10,自動停止,100
2026-05-08 11:30:50,自動起動,20
2026-05-08 11:31:10,自動停止,10
