日時,ステータス,経過秒数
2026-04-06 05:00:00,電源断,9380
2026-04-06 07:36:20,自動停止,80
2026-04-06 07:37:40,自動起動,1150
2026-04-06 07:56:50,自動停止,1430
2026-04-06 08:20:40,段取り,1630
2026-04-06 08:47:50,自動停止,10
2026-04-06 08:48:00,自動起動,20
2026-04-06 08:48:20,段取り,40
2026-04-06 08:49:00,自動停止,30
2026-04-06 08:49:30,自動起動,40
2026-04-06 08:50:10,段取り,80
2026-04-06 08:51:30,自動停止,20
2026-04-06 08:51:50,自動起動,50
2026-04-06 08:52:40,自動停止,70
2026-04-06 08:53:50,段取り,30
2026-04-06 08:54:20,自動停止,20
2026-04-06 08:54:40,自動起動,10
2026-04-06 08:54:50,自動停止,20
2026-04-06 08:55:10,自動起動,10
2026-04-06 08:55:20,段取り,10
2026-04-06 08:55:30,自動停止,10
2026-04-06 08:55:40,自動起動,30
2026-04-06 08:56:10,段取り,360
2026-04-06 09:02:10,自動起動,50
2026-04-06 09:03:00,段取り,10
2026-04-06 09:03:10,自動停止,10
2026-04-06 09:03:20,自動起動,30
2026-04-06 09:03:50,段取り,50
2026-04-06 09:04:40,自動停止,10
2026-04-06 09:04:50,自動起動,50
2026-04-06 09:05:40,自動停止,10
2026-04-06 09:05:50,自動起動,110
2026-04-06 09:07:40,自動停止,110
2026-04-06 09:09:30,自動起動,10
2026-04-06 09:09:40,自動停止,10
2026-04-06 09:09:50,自動起動,10
2026-04-06 09:10:00,段取り,720
2026-04-06 09:22:00,自動起動,20
2026-04-06 09:22:20,自動停止,10
2026-04-06 09:22:30,自動起動,80
2026-04-06 09:23:50,自動停止,10
2026-04-06 09:24:00,自動起動,20
2026-04-06 09:24:20,段取り,70
2026-04-06 09:25:30,自動起動,190
2026-04-06 09:28:40,自動停止,170
2026-04-06 09:31:30,自動起動,10
2026-04-06 09:31:40,自動停止,10
2026-04-06 09:31:50,段取り,30
2026-04-06 09:32:20,自動起動,250
2026-04-06 09:36:30,自動停止,120
2026-04-06 09:38:30,自動起動,260
2026-04-06 09:42:50,自動停止,60
2026-04-06 09:43:50,自動起動,250
2026-04-06 09:48:00,自動停止,450
2026-04-06 09:55:30,自動起動,260
2026-04-06 09:59:50,自動停止,80
2026-04-06 10:01:10,自動起動,260
2026-04-06 10:05:30,自動停止,400
2026-04-06 10:12:10,自動起動,260
2026-04-06 10:16:30,段取り,1910
2026-04-06 10:48:20,自動起動,130
2026-04-06 10:50:30,段取り,100
2026-04-06 10:52:10,自動起動,20
2026-04-06 10:52:30,自動停止,10
2026-04-06 10:52:40,自動起動,10
2026-04-06 10:52:50,段取り,100
2026-04-06 10:54:30,自動起動,10
2026-04-06 10:54:40,自動停止,80
2026-04-06 10:56:00,自動起動,130
2026-04-06 10:58:10,自動停止,40
2026-04-06 10:58:50,自動起動,130
2026-04-06 11:01:00,段取り,110
2026-04-06 11:02:50,自動停止,20
2026-04-06 11:03:10,自動起動,20
2026-04-06 11:03:30,自動停止,30
2026-04-06 11:04:00,自動起動,50
2026-04-06 11:04:50,自動停止,10
2026-04-06 11:05:00,自動起動,20
2026-04-06 11:05:20,自動停止,10
2026-04-06 11:05:30,段取り,10
2026-04-06 11:05:40,自動停止,10
2026-04-06 11:05:50,自動起動,170
2026-04-06 11:08:40,自動停止,770
2026-04-06 11:21:30,自動起動,310
2026-04-06 11:26:40,自動停止,40
2026-04-06 11:27:20,自動起動,90
2026-04-06 11:28:50,自動停止,20
2026-04-06 11:29:10,自動起動,40
2026-04-06 11:29:50,自動停止,330
2026-04-06 11:35:20,自動起動,310
2026-04-06 11:40:30,自動停止,30
2026-04-06 11:41:00,自動起動,90
2026-04-06 11:42:30,自動停止,20
2026-04-06 11:42:50,自動起動,40
2026-04-06 11:43:30,自動停止,260
2026-04-06 11:47:50,自動起動,310
2026-04-06 11:53:00,自動停止,10
2026-04-06 11:53:10,自動起動,90
2026-04-06 11:54:40,自動停止,10
2026-04-06 11:54:50,自動起動,40
2026-04-06 11:55:30,自動停止,240
2026-04-06 11:59:30,自動起動,390
2026-04-06 12:06:00,自動停止,620
2026-04-06 12:16:20,自動起動,40
2026-04-06 12:17:00,自動停止,280
2026-04-06 12:21:40,自動起動,20
2026-04-06 12:22:00,自動停止,30
2026-04-06 12:22:30,自動起動,380
2026-04-06 12:28:50,自動停止,10
2026-04-06 12:29:00,自動起動,40
2026-04-06 12:29:40,自動停止,340
2026-04-06 12:35:20,自動起動,410
2026-04-06 12:42:10,自動停止,30
2026-04-06 12:42:40,自動起動,50
2026-04-06 12:43:30,自動停止,600
2026-04-06 12:53:30,自動起動,400
2026-04-06 13:00:10,自動停止,60
2026-04-06 13:01:10,自動起動,40
2026-04-06 13:01:50,自動停止,2630
2026-04-06 13:45:40,段取り,1200
2026-04-06 14:05:40,自動起動,40
2026-04-06 14:06:20,自動停止,10
2026-04-06 14:06:30,自動起動,10
2026-04-06 14:06:40,自動停止,80
2026-04-06 14:08:00,段取り,20
2026-04-06 14:08:20,自動停止,20
2026-04-06 14:08:40,自動起動,140
2026-04-06 14:11:00,段取り,100
2026-04-06 14:12:40,自動起動,10
2026-04-06 14:12:50,自動停止,10
2026-04-06 14:13:00,自動起動,70
2026-04-06 14:14:10,段取り,160
2026-04-06 14:16:50,自動停止,10
2026-04-06 14:17:00,自動起動,190
2026-04-06 14:20:10,自動停止,320
2026-04-06 14:25:30,段取り,410
2026-04-06 14:32:20,自動起動,40
2026-04-06 14:33:00,自動停止,30
2026-04-06 14:33:30,自動起動,330
2026-04-06 14:39:00,自動停止,320
2026-04-06 14:44:20,自動起動,50
2026-04-06 14:45:10,自動停止,10
2026-04-06 14:45:20,自動起動,380
2026-04-06 14:51:40,自動停止,320
2026-04-06 14:57:00,自動起動,10
2026-04-06 14:57:10,自動停止,10
2026-04-06 14:57:20,自動起動,30
2026-04-06 14:57:50,自動停止,40
2026-04-06 14:58:30,自動起動,340
2026-04-06 15:04:10,自動停止,490
2026-04-06 15:12:20,自動起動,370
2026-04-06 15:18:30,自動停止,1810
2026-04-06 15:48:40,段取り,1270
2026-04-06 16:09:50,自動起動,60
2026-04-06 16:10:50,自動停止,10
2026-04-06 16:11:00,段取り,20
2026-04-06 16:11:20,自動停止,160
2026-04-06 16:14:00,自動起動,10
2026-04-06 16:14:10,段取り,20
2026-04-06 16:14:30,自動起動,50
2026-04-06 16:15:20,自動停止,10
2026-04-06 16:15:30,自動起動,10
2026-04-06 16:15:40,自動停止,10
2026-04-06 16:15:50,自動起動,40
2026-04-06 16:16:30,自動停止,10
2026-04-06 16:16:40,自動起動,30
2026-04-06 16:17:10,自動停止,40
2026-04-06 16:17:50,自動起動,90
2026-04-06 16:19:20,自動停止,10
2026-04-06 16:19:30,段取り,450
2026-04-06 16:27:00,自動起動,10
2026-04-06 16:27:10,自動停止,10
2026-04-06 16:27:20,自動起動,60
2026-04-06 16:28:20,自動停止,20
2026-04-06 16:28:40,自動起動,60
2026-04-06 16:29:40,自動停止,10
2026-04-06 16:29:50,自動起動,90
2026-04-06 16:31:20,自動停止,200
2026-04-06 16:34:40,段取り,840
2026-04-06 16:48:40,自動起動,230
2026-04-06 16:52:30,自動停止,120
2026-04-06 16:54:30,段取り,3800
2026-04-06 17:57:50,自動起動,10
2026-04-06 17:58:00,自動停止,10
2026-04-06 17:58:10,自動起動,10
2026-04-06 17:58:20,自動停止,30
2026-04-06 17:58:50,段取り,50
2026-04-06 17:59:40,自動起動,70
2026-04-06 18:00:50,段取り,2580
2026-04-06 18:43:50,自動起動,30
2026-04-06 18:44:20,自動停止,50
2026-04-06 18:45:10,自動起動,30
2026-04-06 18:45:40,段取り,30
2026-04-06 18:46:10,自動起動,30
2026-04-06 18:46:40,段取り,100
2026-04-06 18:48:20,自動停止,10
2026-04-06 18:48:30,自動起動,20
2026-04-06 18:48:50,段取り,40
2026-04-06 18:49:30,自動起動,30
2026-04-06 18:50:00,自動停止,10
2026-04-06 18:50:10,段取り,170
2026-04-06 18:53:00,自動起動,30
2026-04-06 18:53:30,段取り,60
2026-04-06 18:54:30,自動起動,60
2026-04-06 18:55:30,段取り,80
2026-04-06 18:56:50,自動起動,70
2026-04-06 18:58:00,自動停止,30
2026-04-06 18:58:30,自動起動,60
2026-04-06 18:59:30,自動停止,190
2026-04-06 19:02:40,段取り,330
2026-04-06 19:08:10,自動起動,20
2026-04-06 19:08:30,自動停止,10
2026-04-06 19:08:40,段取り,20
2026-04-06 19:09:00,自動起動,40
2026-04-06 19:09:40,段取り,130
2026-04-06 19:11:50,自動起動,20
2026-04-06 19:12:10,自動停止,130
2026-04-06 19:14:20,自動起動,30
2026-04-06 19:14:50,自動停止,60
2026-04-06 19:15:50,自動起動,40
2026-04-06 19:16:30,自動停止,30
2026-04-06 19:17:00,自動起動,30
2026-04-06 19:17:30,自動停止,120
2026-04-06 19:19:30,自動起動,10
2026-04-06 19:19:40,自動停止,10
2026-04-06 19:19:50,自動起動,50
2026-04-06 19:20:40,自動停止,60
2026-04-06 19:21:40,自動起動,50
2026-04-06 19:22:30,自動停止,40
2026-04-06 19:23:10,自動起動,40
2026-04-06 19:23:50,自動停止,50
2026-04-06 19:24:40,自動起動,50
2026-04-06 19:25:30,自動停止,430
2026-04-06 19:32:40,段取り,70
2026-04-06 19:33:50,自動起動,20
2026-04-06 19:34:10,自動停止,10
2026-04-06 19:34:20,自動起動,10
2026-04-06 19:34:30,自動停止,90
2026-04-06 19:36:00,段取り,80
2026-04-06 19:37:20,自動起動,40
2026-04-06 19:38:00,自動停止,60
2026-04-06 19:39:00,自動起動,40
2026-04-06 19:39:40,自動停止,30
2026-04-06 19:40:10,自動起動,50
2026-04-06 19:41:00,自動停止,50
2026-04-06 19:41:50,自動起動,40
2026-04-06 19:42:30,自動停止,110
2026-04-06 19:44:20,自動起動,10
2026-04-06 19:44:30,自動停止,30
2026-04-06 19:45:00,段取り,50
2026-04-06 19:45:50,自動起動,20
2026-04-06 19:46:10,自動停止,80
2026-04-06 19:47:30,自動起動,20
2026-04-06 19:47:50,自動停止,60
2026-04-06 19:48:50,自動起動,20
2026-04-06 19:49:10,自動停止,40
2026-04-06 19:49:50,自動起動,50
2026-04-06 19:50:40,自動停止,60
2026-04-06 19:51:40,自動起動,40
2026-04-06 19:52:20,自動停止,120
2026-04-06 19:54:20,自動起動,50
2026-04-06 19:55:10,自動停止,4260
2026-04-06 21:06:10,段取り,420
2026-04-06 21:13:10,自動起動,10
2026-04-06 21:13:20,自動停止,20
2026-04-06 21:13:40,自動起動,10
2026-04-06 21:13:50,段取り,60
2026-04-06 21:14:50,自動停止,10
2026-04-06 21:15:00,自動起動,10
2026-04-06 21:15:10,自動停止,10
2026-04-06 21:15:20,自動起動,10
2026-04-06 21:15:30,段取り,10
2026-04-06 21:15:40,自動起動,10
2026-04-06 21:15:50,段取り,50
2026-04-06 21:16:40,自動停止,10
2026-04-06 21:16:50,自動起動,40
2026-04-06 21:17:30,段取り,20
2026-04-06 21:17:50,自動停止,10
2026-04-06 21:18:00,自動起動,50
2026-04-06 21:18:50,段取り,60
2026-04-06 21:19:50,自動起動,70
2026-04-06 21:21:00,自動停止,30
2026-04-06 21:21:30,自動起動,50
2026-04-06 21:22:20,自動停止,60
2026-04-06 21:23:20,自動起動,70
2026-04-06 21:24:30,自動停止,460
2026-04-06 21:32:10,自動起動,10
2026-04-06 21:32:20,自動停止,10
2026-04-06 21:32:30,自動起動,20
2026-04-06 21:32:50,自動停止,10
2026-04-06 21:33:00,自動起動,50
2026-04-06 21:33:50,段取り,60
2026-04-06 21:34:50,自動停止,10
2026-04-06 21:35:00,自動起動,50
2026-04-06 21:35:50,段取り,20
2026-04-06 21:36:10,自動停止,10
2026-04-06 21:36:20,自動起動,10
2026-04-06 21:36:30,自動停止,10
2026-04-06 21:36:40,自動起動,10
2026-04-06 21:36:50,自動停止,20
2026-04-06 21:37:10,自動起動,80
2026-04-06 21:38:30,自動停止,230
2026-04-06 21:42:20,自動起動,90
2026-04-06 21:43:50,段取り,30
2026-04-06 21:44:20,自動起動,40
2026-04-06 21:45:00,自動停止,10
2026-04-06 21:45:10,自動起動,10
2026-04-06 21:45:20,自動停止,10
2026-04-06 21:45:30,自動起動,80
2026-04-06 21:46:50,自動停止,430
2026-04-06 21:54:00,段取り,1590
2026-04-06 22:20:30,自動起動,60
2026-04-06 22:21:30,自動停止,10
2026-04-06 22:21:40,自動起動,20
