日時,ステータス,経過秒数
2026-01-09 05:00:00,電源断,9930
2026-01-09 07:45:30,自動停止,250
2026-01-09 07:49:40,自動起動,570
2026-01-09 07:59:10,自動停止,10
2026-01-09 07:59:20,段取り,430
2026-01-09 08:06:30,自動停止,60
2026-01-09 08:07:30,自動起動,40
2026-01-09 08:08:10,自動停止,130
2026-01-09 08:10:20,自動起動,30
2026-01-09 08:10:50,自動停止,90
2026-01-09 08:12:20,自動起動,80
2026-01-09 08:13:40,自動停止,50
2026-01-09 08:14:30,自動起動,40
2026-01-09 08:15:10,自動停止,10
2026-01-09 08:15:20,自動起動,70
2026-01-09 08:16:30,自動停止,420
2026-01-09 08:23:30,自動起動,240
2026-01-09 08:27:30,自動停止,460
2026-01-09 08:35:10,段取り,130
2026-01-09 08:37:20,自動起動,260
2026-01-09 08:41:40,自動停止,310
2026-01-09 08:46:50,自動起動,250
2026-01-09 08:51:00,自動停止,310
2026-01-09 08:56:10,自動起動,250
2026-01-09 09:00:20,自動停止,260
2026-01-09 09:04:40,自動起動,10
2026-01-09 09:04:50,自動停止,10
2026-01-09 09:05:00,自動起動,240
2026-01-09 09:09:00,自動停止,260
2026-01-09 09:13:20,自動起動,250
2026-01-09 09:17:30,自動停止,330
2026-01-09 09:23:00,自動起動,240
2026-01-09 09:27:00,自動停止,270
2026-01-09 09:31:30,自動起動,240
2026-01-09 09:35:30,自動停止,300
2026-01-09 09:40:30,自動起動,240
2026-01-09 09:44:30,自動停止,360
2026-01-09 09:50:30,自動起動,250
2026-01-09 09:54:40,自動停止,240
2026-01-09 09:58:40,自動起動,250
2026-01-09 10:02:50,自動停止,2180
2026-01-09 10:39:10,段取り,620
2026-01-09 10:49:30,自動起動,50
2026-01-09 10:50:20,自動停止,20
2026-01-09 10:50:40,自動起動,30
2026-01-09 10:51:10,段取り,20
2026-01-09 10:51:30,自動起動,40
2026-01-09 10:52:10,自動停止,90
2026-01-09 10:53:40,段取り,10
2026-01-09 10:53:50,自動起動,70
2026-01-09 10:55:00,自動停止,20
2026-01-09 10:55:20,自動起動,10
2026-01-09 10:55:30,自動停止,30
2026-01-09 10:56:00,自動起動,40
2026-01-09 10:56:40,自動停止,20
2026-01-09 10:57:00,自動起動,20
2026-01-09 10:57:20,自動停止,70
2026-01-09 10:58:30,自動起動,60
2026-01-09 10:59:30,自動停止,30
2026-01-09 11:00:00,自動起動,10
2026-01-09 11:00:10,段取り,60
2026-01-09 11:01:10,自動起動,70
2026-01-09 11:02:20,段取り,140
2026-01-09 11:04:40,自動停止,10
2026-01-09 11:04:50,自動起動,40
2026-01-09 11:05:30,段取り,70
2026-01-09 11:06:40,自動停止,10
2026-01-09 11:06:50,自動起動,90
2026-01-09 11:08:20,自動停止,10
2026-01-09 11:08:30,自動起動,90
2026-01-09 11:10:00,段取り,40
2026-01-09 11:10:40,自動停止,10
2026-01-09 11:10:50,自動起動,20
2026-01-09 11:11:10,自動停止,10
2026-01-09 11:11:20,自動起動,30
2026-01-09 11:11:50,自動停止,10
2026-01-09 11:12:00,自動起動,160
2026-01-09 11:14:40,段取り,20
2026-01-09 11:15:00,自動停止,10
2026-01-09 11:15:10,自動起動,100
2026-01-09 11:16:50,自動停止,720
2026-01-09 11:28:50,段取り,4000
2026-01-09 12:35:30,電源断,2410
2026-01-09 13:15:40,段取り,1360
2026-01-09 13:38:20,電源断,55300
