日時,ステータス,経過秒数
2026-04-20 05:00:05,電源断,12330
2026-04-20 08:26:11,段取り,790
2026-04-20 08:39:24,自動起動,80
2026-04-20 08:40:44,段取り,90
2026-04-20 08:42:14,自動起動,70
2026-04-20 08:43:24,自動停止,10
2026-04-20 08:43:34,自動起動,500
2026-04-20 08:51:56,段取り,720
2026-04-20 09:03:58,不明,10
2026-04-20 09:04:08,段取り,430
2026-04-20 09:11:19,自動起動,80
2026-04-20 09:12:40,自動停止,10
2026-04-20 09:12:50,段取り,40
2026-04-20 09:13:30,自動起動,30
2026-04-20 09:14:00,自動停止,50
2026-04-20 09:14:50,段取り,20
2026-04-20 09:15:10,自動起動,30
2026-04-20 09:15:40,段取り,10
2026-04-20 09:15:50,自動起動,230
2026-04-20 09:19:41,段取り,160
2026-04-20 09:22:21,自動起動,250
2026-04-20 09:26:32,自動停止,30
2026-04-20 09:27:02,自動起動,550
2026-04-20 09:36:14,自動停止,210
2026-04-20 09:39:44,自動起動,440
2026-04-20 09:47:06,自動停止,120
2026-04-20 09:49:06,自動起動,980
2026-04-20 10:05:29,段取り,2640
2026-04-20 10:49:37,自動停止,10
2026-04-20 10:49:47,不明,10
2026-04-20 10:49:57,段取り,10
2026-04-20 10:50:07,不明,10
2026-04-20 10:50:17,段取り,10
2026-04-20 10:50:27,不明,10
2026-04-20 10:50:37,段取り,590
2026-04-20 11:00:29,自動起動,70
2026-04-20 11:01:39,自動停止,460
2026-04-20 11:09:20,段取り,40
2026-04-20 11:10:00,自動起動,150
2026-04-20 11:12:31,段取り,250
2026-04-20 11:16:41,自動起動,180
2026-04-20 11:19:42,段取り,290
2026-04-20 11:24:33,自動起動,180
2026-04-20 11:27:33,段取り,120
2026-04-20 11:29:34,自動起動,170
2026-04-20 11:32:24,段取り,60
2026-04-20 11:33:24,自動起動,180
2026-04-20 11:36:25,段取り,40
2026-04-20 11:37:05,自動起動,170
2026-04-20 11:39:56,段取り,180
2026-04-20 11:42:56,自動起動,170
2026-04-20 11:45:47,段取り,50
2026-04-20 11:46:37,自動起動,180
2026-04-20 11:49:37,段取り,380
2026-04-20 11:55:58,自動起動,170
2026-04-20 11:58:49,段取り,50
2026-04-20 11:59:39,自動起動,170
2026-04-20 12:02:30,段取り,2750
2026-04-20 12:48:28,自動起動,180
2026-04-20 12:51:28,段取り,60
2026-04-20 12:52:29,自動起動,170
2026-04-20 12:55:19,段取り,40
2026-04-20 12:55:59,自動起動,180
2026-04-20 12:59:00,段取り,40
2026-04-20 12:59:40,自動起動,180
2026-04-20 13:02:40,段取り,50
2026-04-20 13:03:31,自動起動,170
2026-04-20 13:06:21,段取り,40
2026-04-20 13:07:01,自動起動,180
2026-04-20 13:10:02,段取り,60
2026-04-20 13:11:02,自動起動,170
