日時,ステータス,経過秒数
2026-02-05 05:00:00,電源断,11720
2026-02-05 08:15:49,段取り,1900
2026-02-05 08:47:36,自動起動,1100
2026-02-05 09:06:03,段取り,1250
2026-02-05 09:26:56,自動起動,10
2026-02-05 09:27:06,段取り,120
2026-02-05 09:29:07,自動起動,130
2026-02-05 09:31:17,段取り,50
2026-02-05 09:32:07,自動起動,30
2026-02-05 09:32:37,自動停止,20
2026-02-05 09:32:57,自動起動,20
2026-02-05 09:33:17,段取り,350
2026-02-05 09:39:08,自動起動,50
2026-02-05 09:39:58,段取り,130
2026-02-05 09:42:09,自動起動,50
2026-02-05 09:42:59,段取り,70
2026-02-05 09:44:09,自動起動,50
2026-02-05 09:44:59,段取り,100
2026-02-05 09:46:40,自動起動,50
2026-02-05 09:47:30,段取り,80
2026-02-05 09:48:50,自動起動,50
2026-02-05 09:49:40,段取り,90
2026-02-05 09:51:10,自動起動,60
2026-02-05 09:52:10,段取り,60
2026-02-05 09:53:11,自動起動,50
2026-02-05 09:54:01,段取り,80
2026-02-05 09:55:21,自動起動,50
2026-02-05 09:56:11,段取り,70
2026-02-05 09:57:21,自動起動,50
2026-02-05 09:58:11,段取り,60
2026-02-05 09:59:12,自動起動,50
2026-02-05 10:00:02,段取り,90
2026-02-05 10:01:32,自動起動,40
2026-02-05 10:02:12,段取り,580
2026-02-05 10:11:53,自動起動,50
2026-02-05 10:12:43,段取り,80
2026-02-05 10:14:04,自動起動,50
2026-02-05 10:14:54,段取り,60
2026-02-05 10:15:54,自動起動,50
2026-02-05 10:16:44,段取り,70
2026-02-05 10:17:54,自動起動,50
2026-02-05 10:18:44,段取り,60
2026-02-05 10:19:45,自動起動,50
2026-02-05 10:20:35,段取り,60
2026-02-05 10:21:35,自動起動,50
2026-02-05 10:22:25,段取り,60
2026-02-05 10:23:25,自動起動,50
2026-02-05 10:24:15,段取り,70
2026-02-05 10:25:25,自動起動,50
2026-02-05 10:26:16,段取り,60
2026-02-05 10:27:16,自動起動,60
2026-02-05 10:28:16,段取り,60
2026-02-05 10:29:16,自動起動,50
2026-02-05 10:30:06,段取り,70
2026-02-05 10:31:16,自動起動,50
2026-02-05 10:32:06,段取り,70
2026-02-05 10:33:17,自動起動,50
2026-02-05 10:34:07,段取り,70
2026-02-05 10:35:17,自動起動,50
2026-02-05 10:36:07,段取り,60
2026-02-05 10:37:07,自動起動,50
2026-02-05 10:37:57,段取り,60
2026-02-05 10:38:57,自動起動,50
2026-02-05 10:39:48,段取り,70
2026-02-05 10:40:58,自動起動,50
2026-02-05 10:41:48,段取り,60
2026-02-05 10:42:48,自動起動,50
2026-02-05 10:43:38,段取り,70
2026-02-05 10:44:48,自動起動,50
2026-02-05 10:45:38,段取り,60
2026-02-05 10:46:39,自動起動,50
2026-02-05 10:47:29,段取り,60
2026-02-05 10:48:29,自動起動,50
2026-02-05 10:49:19,段取り,60
2026-02-05 10:50:19,自動起動,50
2026-02-05 10:51:09,段取り,50
2026-02-05 10:51:59,自動起動,60
2026-02-05 10:53:00,段取り,60
2026-02-05 10:54:00,自動起動,50
2026-02-05 10:54:50,段取り,60
2026-02-05 10:55:50,自動起動,50
2026-02-05 10:56:40,段取り,60
2026-02-05 10:57:40,自動起動,50
2026-02-05 10:58:30,段取り,60
2026-02-05 10:59:30,自動起動,50
2026-02-05 11:00:21,段取り,70
2026-02-05 11:01:31,自動起動,50
2026-02-05 11:02:21,段取り,60
2026-02-05 11:03:21,自動起動,50
2026-02-05 11:04:11,段取り,50
2026-02-05 11:05:01,自動起動,50
2026-02-05 11:05:51,段取り,70
2026-02-05 11:07:02,自動起動,50
2026-02-05 11:07:52,段取り,70
2026-02-05 11:09:02,自動起動,50
2026-02-05 11:09:52,段取り,60
2026-02-05 11:10:52,自動起動,50
2026-02-05 11:11:42,段取り,60
2026-02-05 11:12:42,自動起動,50
2026-02-05 11:13:33,段取り,60
2026-02-05 11:14:33,自動起動,50
2026-02-05 11:15:23,段取り,60
2026-02-05 11:16:23,自動起動,50
2026-02-05 11:17:13,段取り,60
