日時,ステータス,経過秒数
2026-03-19 05:00:06,電源断,11680
2026-03-19 08:15:20,段取り,3160
2026-03-19 09:08:09,不明,70
2026-03-19 09:09:20,段取り,20
2026-03-19 09:09:40,不明,10
2026-03-19 09:09:50,段取り,10
2026-03-19 09:10:00,不明,20
2026-03-19 09:10:20,段取り,40
2026-03-19 09:11:00,自動起動,70
2026-03-19 09:12:10,自動停止,10
2026-03-19 09:12:20,段取り,30
2026-03-19 09:12:50,自動起動,20
2026-03-19 09:13:10,段取り,60
2026-03-19 09:14:10,自動起動,20
2026-03-19 09:14:30,自動停止,40
2026-03-19 09:15:11,自動起動,90
2026-03-19 09:16:41,段取り,250
2026-03-19 09:20:52,自動起動,1450
2026-03-19 09:45:06,段取り,280
2026-03-19 09:49:47,自動起動,700
2026-03-19 10:01:29,段取り,690
2026-03-19 10:13:01,自動起動,160
2026-03-19 10:15:41,アラーム,20
2026-03-19 10:16:01,不明,10
2026-03-19 10:16:11,段取り,40
2026-03-19 10:16:52,自動起動,850
2026-03-19 10:31:04,アラーム,10
2026-03-19 10:31:14,段取り,30
2026-03-19 10:31:44,自動起動,40
2026-03-19 10:32:24,アラーム,50
2026-03-19 10:33:15,段取り,30
2026-03-19 10:33:45,不明,10
2026-03-19 10:33:55,段取り,20
2026-03-19 10:34:15,不明,20
2026-03-19 10:34:35,段取り,70
2026-03-19 10:35:45,自動起動,2430
2026-03-19 11:16:22,アラーム,10
2026-03-19 11:16:32,段取り,20
2026-03-19 11:16:52,自動起動,80
2026-03-19 11:18:12,段取り,1210
2026-03-19 11:38:26,自動起動,10
2026-03-19 11:38:36,段取り,180
2026-03-19 11:41:37,自動起動,70
2026-03-19 11:42:47,自動停止,20
2026-03-19 11:43:07,自動起動,30
2026-03-19 11:43:37,段取り,30
2026-03-19 11:44:07,自動起動,20
2026-03-19 11:44:27,自動停止,30
2026-03-19 11:44:57,自動起動,140
2026-03-19 11:47:18,段取り,70
2026-03-19 11:48:28,自動起動,80
2026-03-19 11:49:48,アラーム,40
2026-03-19 11:50:28,段取り,5790
2026-03-19 13:27:15,自動起動,80
2026-03-19 13:28:36,自動停止,70
2026-03-19 13:29:46,自動起動,40
2026-03-19 13:30:26,段取り,50
2026-03-19 13:31:16,自動起動,40
2026-03-19 13:31:56,自動停止,30
2026-03-19 13:32:26,自動起動,220
2026-03-19 13:36:07,段取り,1130
2026-03-19 13:55:00,自動起動,280
2026-03-19 13:59:41,段取り,460
2026-03-19 14:07:23,自動起動,280
2026-03-19 14:12:03,段取り,490
2026-03-19 14:20:15,自動起動,280
2026-03-19 14:24:56,段取り,330
2026-03-19 14:30:27,自動起動,280
2026-03-19 14:35:08,段取り,5080
2026-03-19 16:00:03,不明,10
2026-03-19 16:00:13,段取り,20
2026-03-19 16:00:33,不明,20
2026-03-19 16:00:53,段取り,20
2026-03-19 16:01:13,不明,10
2026-03-19 16:01:23,段取り,60
2026-03-19 16:02:23,不明,10
2026-03-19 16:02:33,段取り,30
2026-03-19 16:03:03,自動起動,10
2026-03-19 16:03:13,段取り,40
2026-03-19 16:03:53,自動起動,50
2026-03-19 16:04:44,自動停止,40
2026-03-19 16:05:24,自動起動,70
