日時,ステータス,経過秒数
2026-04-24 05:00:09,電源断,12210
2026-04-24 08:24:15,段取り,1500
2026-04-24 08:49:20,自動起動,50
2026-04-24 08:50:10,自動停止,70
2026-04-24 08:51:20,段取り,40
2026-04-24 08:52:00,自動起動,150
2026-04-24 08:54:30,段取り,230
2026-04-24 08:58:21,自動起動,100
2026-04-24 09:00:01,自動停止,10
2026-04-24 09:00:11,自動起動,70
2026-04-24 09:01:22,段取り,40
2026-04-24 09:02:02,自動起動,170
2026-04-24 09:04:52,段取り,50
2026-04-24 09:05:42,自動起動,170
2026-04-24 09:08:33,段取り,80
2026-04-24 09:09:53,自動起動,160
2026-04-24 09:12:34,段取り,50
2026-04-24 09:13:24,自動起動,160
2026-04-24 09:16:04,段取り,40
2026-04-24 09:16:44,自動起動,170
2026-04-24 09:19:35,段取り,70
2026-04-24 09:20:45,自動起動,170
2026-04-24 09:23:36,段取り,30
2026-04-24 09:24:06,アラーム,50
2026-04-24 09:24:56,電源断,5560
2026-04-24 10:57:52,段取り,800
2026-04-24 11:11:15,自動起動,170
2026-04-24 11:14:05,段取り,40
2026-04-24 11:14:45,自動起動,160
2026-04-24 11:17:26,段取り,560
2026-04-24 11:26:48,自動起動,170
2026-04-24 11:29:38,段取り,40
2026-04-24 11:30:18,自動起動,160
2026-04-24 11:32:59,段取り,50
2026-04-24 11:33:49,自動起動,160
2026-04-24 11:36:29,段取り,50
2026-04-24 11:37:19,自動起動,160
2026-04-24 11:40:00,段取り,50
2026-04-24 11:40:50,自動起動,160
2026-04-24 11:43:31,段取り,320
2026-04-24 11:48:52,自動起動,160
2026-04-24 11:51:32,段取り,60
2026-04-24 11:52:32,自動起動,170
2026-04-24 11:55:23,段取り,90
2026-04-24 11:56:53,自動起動,170
2026-04-24 11:59:43,段取り,2800
2026-04-24 12:46:32,自動起動,170
2026-04-24 12:49:22,段取り,50
2026-04-24 12:50:12,自動起動,160
2026-04-24 12:52:53,段取り,40
2026-04-24 12:53:33,自動起動,30
