日時,ステータス,経過秒数
2026-03-30 14:22:30,自動起動,170
2026-03-30 14:25:20,段取り,30
2026-03-30 14:25:50,自動起動,170
2026-03-30 14:28:41,段取り,50
2026-03-30 14:29:31,自動起動,170
2026-03-30 14:32:21,段取り,30
2026-03-30 14:32:52,自動起動,170
2026-03-30 14:35:42,段取り,290
2026-03-30 14:40:33,自動起動,170
2026-03-30 14:43:23,段取り,40
2026-03-30 14:44:04,自動起動,160
2026-03-30 14:46:44,段取り,30
2026-03-30 14:47:14,自動起動,170
2026-03-30 14:50:05,段取り,30
2026-03-30 14:50:35,自動起動,170
2026-03-30 14:53:25,段取り,40
2026-03-30 14:54:05,自動起動,170
2026-03-30 14:56:56,段取り,40
2026-03-30 14:57:36,自動起動,170
2026-03-30 15:00:27,段取り,750
2026-03-30 15:12:59,自動起動,160
2026-03-30 15:15:39,段取り,50
2026-03-30 15:16:30,自動起動,160
2026-03-30 15:19:10,段取り,50
2026-03-30 15:20:00,自動起動,160
2026-03-30 15:22:41,段取り,40
2026-03-30 15:23:21,自動起動,170
2026-03-30 15:26:11,段取り,40
2026-03-30 15:26:51,自動起動,160
2026-03-30 15:29:32,段取り,40
2026-03-30 15:30:12,自動起動,170
2026-03-30 15:33:03,段取り,40
2026-03-30 15:33:43,自動起動,170
2026-03-30 15:36:33,段取り,40
2026-03-30 15:37:13,自動起動,170
2026-03-30 15:40:04,段取り,30
2026-03-30 15:40:34,自動起動,170
2026-03-30 15:43:24,段取り,30
2026-03-30 15:43:55,自動起動,170
2026-03-30 15:46:45,段取り,170
2026-03-30 15:49:36,自動起動,170
2026-03-30 15:52:26,段取り,40
2026-03-30 15:53:06,自動起動,170
2026-03-30 15:55:57,段取り,70
2026-03-30 15:57:07,不明,40
2026-03-30 15:57:47,段取り,20
2026-03-30 15:58:07,自動起動,180
2026-03-30 16:01:08,段取り,40
2026-03-30 16:01:48,自動起動,160
2026-03-30 16:04:28,段取り,80
2026-03-30 16:05:49,自動起動,160
2026-03-30 16:08:29,段取り,30
2026-03-30 16:08:59,自動起動,170
2026-03-30 16:11:50,段取り,40
2026-03-30 16:12:30,自動起動,160
2026-03-30 16:15:10,段取り,40
2026-03-30 16:15:50,自動起動,170
2026-03-30 16:18:41,段取り,40
2026-03-30 16:19:21,自動起動,100
2026-03-30 16:21:01,自動停止,60
2026-03-30 16:22:02,自動起動,70
2026-03-30 16:23:12,段取り,110
2026-03-30 16:25:02,自動起動,170
2026-03-30 16:27:53,段取り,40
2026-03-30 16:28:33,自動起動,170
2026-03-30 16:31:23,段取り,50
2026-03-30 16:32:13,自動起動,160
2026-03-30 16:34:54,段取り,50
2026-03-30 16:35:44,自動起動,160
2026-03-30 16:38:25,段取り,1110
2026-03-30 16:56:58,電源断,43520
