日時,ステータス,経過秒数
2026-03-31 05:00:00,電源断,12610
2026-03-31 08:30:10,段取り,1060
2026-03-31 08:47:50,アラーム,20
2026-03-31 08:48:10,段取り,10
2026-03-31 08:48:20,アラーム,10
2026-03-31 08:48:30,段取り,20
2026-03-31 08:48:50,アラーム,10
2026-03-31 08:49:00,段取り,250
2026-03-31 08:53:10,アラーム,20
2026-03-31 08:53:30,段取り,240
2026-03-31 08:57:30,自動停止,10
2026-03-31 08:57:40,自動起動,150
2026-03-31 09:00:10,自動停止,440
2026-03-31 09:07:30,自動起動,150
2026-03-31 09:10:00,自動停止,240
2026-03-31 09:14:00,自動起動,160
2026-03-31 09:16:40,自動停止,12820
2026-03-31 12:50:20,自動起動,3330
2026-03-31 13:45:50,自動停止,40
2026-03-31 13:46:30,自動起動,310
2026-03-31 13:51:40,自動停止,1000
2026-03-31 14:08:20,自動起動,160
2026-03-31 14:11:00,自動停止,420
2026-03-31 14:18:00,自動起動,2700
2026-03-31 15:03:00,自動停止,990
2026-03-31 15:19:30,自動起動,3660
2026-03-31 16:20:30,自動停止,1030
2026-03-31 16:37:40,段取り,30
2026-03-31 16:38:10,アラーム,10
2026-03-31 16:38:20,段取り,1630
2026-03-31 17:05:30,自動停止,10
2026-03-31 17:05:40,自動起動,430
2026-03-31 17:12:50,自動停止,30
2026-03-31 17:13:20,自動起動,250
2026-03-31 17:17:30,自動停止,40
2026-03-31 17:18:10,自動起動,20
2026-03-31 17:18:30,自動停止,320
2026-03-31 17:23:50,自動起動,710
2026-03-31 17:35:40,自動停止,190
2026-03-31 17:38:50,自動起動,700
2026-03-31 17:50:30,自動停止,190
2026-03-31 17:53:40,自動起動,720
2026-03-31 18:05:40,自動停止,630
2026-03-31 18:16:10,自動起動,710
2026-03-31 18:28:00,自動停止,860
2026-03-31 18:42:20,自動起動,10
2026-03-31 18:42:30,自動停止,30
2026-03-31 18:43:00,段取り,470
2026-03-31 18:50:50,アラーム,10
2026-03-31 18:51:00,段取り,20
2026-03-31 18:51:20,アラーム,10
2026-03-31 18:51:30,段取り,80
2026-03-31 18:52:50,自動停止,80
2026-03-31 18:54:10,自動起動,160
2026-03-31 18:56:50,自動停止,10
2026-03-31 18:57:00,自動起動,150
2026-03-31 18:59:30,自動停止,110
2026-03-31 19:01:20,自動起動,630
2026-03-31 19:11:50,自動停止,380
2026-03-31 19:18:10,自動起動,3610
2026-03-31 20:18:20,自動停止,60
2026-03-31 20:19:20,自動起動,1720
2026-03-31 20:48:00,自動停止,180
2026-03-31 20:51:00,自動起動,10
2026-03-31 20:51:10,自動停止,3350
2026-03-31 21:47:00,自動起動,220
2026-03-31 21:50:40,自動停止,40
2026-03-31 21:51:20,自動起動,40
2026-03-31 21:52:00,自動停止,30
2026-03-31 21:52:30,自動起動,60
2026-03-31 21:53:30,自動停止,30
2026-03-31 21:54:00,自動起動,830
2026-03-31 22:07:50,自動停止,520
2026-03-31 22:16:30,自動起動,10
2026-03-31 22:16:40,自動停止,300
2026-03-31 22:21:40,自動起動,120
2026-03-31 22:23:40,自動停止,70
2026-03-31 22:24:50,自動起動,160
2026-03-31 22:27:30,自動停止,10
2026-03-31 22:27:40,自動起動,50
2026-03-31 22:28:30,自動停止,10
2026-03-31 22:28:40,自動起動,160
2026-03-31 22:31:20,段取り,30
2026-03-31 22:31:50,アラーム,190
2026-03-31 22:35:00,自動起動,50
2026-03-31 22:35:50,自動停止,20
2026-03-31 22:36:10,自動起動,690
2026-03-31 22:47:40,自動停止,20
2026-03-31 22:48:00,自動起動,10
2026-03-31 22:48:10,自動停止,20
2026-03-31 22:48:30,自動起動,190
2026-03-31 22:51:40,自動停止,80
2026-03-31 22:53:00,自動起動,180
2026-03-31 22:56:00,自動停止,10
2026-03-31 22:56:10,自動起動,10
2026-03-31 22:56:20,自動停止,10
2026-03-31 22:56:30,自動起動,40
2026-03-31 22:57:10,自動停止,10
2026-03-31 22:57:20,自動起動,10
2026-03-31 22:57:30,自動停止,50
2026-03-31 22:58:20,自動起動,360
2026-03-31 23:04:20,自動停止,670
2026-03-31 23:15:30,自動起動,2190
2026-03-31 23:52:00,自動停止,40
2026-03-31 23:52:40,自動起動,1100
2026-04-01 00:11:00,自動停止,40
2026-04-01 00:11:40,自動起動,10
2026-04-01 00:11:50,自動停止,460
2026-04-01 00:19:30,段取り,190
2026-04-01 00:22:40,自動停止,10
2026-04-01 00:22:50,自動起動,20
2026-04-01 00:23:10,段取り,30
2026-04-01 00:23:40,自動停止,20
2026-04-01 00:24:00,自動起動,70
2026-04-01 00:25:10,自動停止,10
2026-04-01 00:25:20,自動起動,30
2026-04-01 00:25:50,自動停止,30
2026-04-01 00:26:20,自動起動,20
2026-04-01 00:26:40,自動停止,20
2026-04-01 00:27:00,自動起動,10
2026-04-01 00:27:10,自動停止,10
2026-04-01 00:27:20,段取り,100
2026-04-01 00:29:00,自動起動,30
2026-04-01 00:29:30,電源断,16230
