日時,ステータス,経過秒数
2026-01-14 05:00:00,電源断,6260
2026-01-14 06:44:20,自動停止,690
2026-01-14 06:55:50,段取り,2270
2026-01-14 07:33:40,自動停止,10
2026-01-14 07:33:50,自動起動,10
2026-01-14 07:34:00,自動停止,10
2026-01-14 07:34:10,自動起動,40
2026-01-14 07:34:50,自動停止,40
2026-01-14 07:35:30,自動起動,60
2026-01-14 07:36:30,自動停止,10
2026-01-14 07:36:40,段取り,30
2026-01-14 07:37:10,自動起動,80
2026-01-14 07:38:30,自動停止,20
2026-01-14 07:38:50,自動起動,130
2026-01-14 07:41:00,自動停止,30
2026-01-14 07:41:30,自動起動,70
2026-01-14 07:42:40,自動停止,10
2026-01-14 07:42:50,自動起動,70
2026-01-14 07:44:00,自動停止,10
2026-01-14 07:44:10,自動起動,190
2026-01-14 07:47:20,自動停止,30
2026-01-14 07:47:50,自動起動,20
2026-01-14 07:48:10,自動停止,20
2026-01-14 07:48:30,自動起動,20
2026-01-14 07:48:50,自動停止,120
2026-01-14 07:50:50,自動起動,30
2026-01-14 07:51:20,自動停止,30
2026-01-14 07:51:50,段取り,990
2026-01-14 08:08:20,自動停止,10
2026-01-14 08:08:30,自動起動,50
2026-01-14 08:09:20,自動停止,10
2026-01-14 08:09:30,自動起動,40
2026-01-14 08:10:10,自動停止,20
2026-01-14 08:10:30,自動起動,130
2026-01-14 08:12:40,自動停止,40
2026-01-14 08:13:20,自動起動,70
2026-01-14 08:14:30,自動停止,20
2026-01-14 08:14:50,自動起動,80
2026-01-14 08:16:10,自動停止,20
2026-01-14 08:16:30,自動起動,380
2026-01-14 08:22:50,自動停止,60
2026-01-14 08:23:50,自動起動,40
2026-01-14 08:24:30,自動停止,1340
2026-01-14 08:46:50,自動起動,60
2026-01-14 08:47:50,自動停止,20
2026-01-14 08:48:10,自動起動,60
2026-01-14 08:49:10,自動停止,10
2026-01-14 08:49:20,自動起動,70
2026-01-14 08:50:30,自動停止,120
2026-01-14 08:52:30,自動起動,70
2026-01-14 08:53:40,自動停止,50
2026-01-14 08:54:30,自動起動,200
2026-01-14 08:57:50,自動停止,30
2026-01-14 08:58:20,自動起動,200
2026-01-14 09:01:40,自動停止,10
2026-01-14 09:01:50,自動起動,20
2026-01-14 09:02:10,自動停止,100
2026-01-14 09:03:50,自動起動,10
2026-01-14 09:04:00,自動停止,10
2026-01-14 09:04:10,自動起動,30
2026-01-14 09:04:40,自動停止,820
2026-01-14 09:18:20,自動起動,70
2026-01-14 09:19:30,自動停止,20
2026-01-14 09:19:50,自動起動,620
2026-01-14 09:30:10,自動停止,20
2026-01-14 09:30:30,自動起動,20
2026-01-14 09:30:50,自動停止,20
2026-01-14 09:31:10,自動起動,10
2026-01-14 09:31:20,自動停止,60
2026-01-14 09:32:20,自動起動,40
2026-01-14 09:33:00,自動停止,1620
2026-01-14 10:00:00,段取り,1510
2026-01-14 10:25:10,自動停止,10
2026-01-14 10:25:20,自動起動,10
2026-01-14 10:25:30,自動停止,20
2026-01-14 10:25:50,段取り,10
2026-01-14 10:26:00,自動起動,20
2026-01-14 10:26:20,自動停止,50
2026-01-14 10:27:10,自動起動,10
2026-01-14 10:27:20,自動停止,70
2026-01-14 10:28:30,段取り,70
2026-01-14 10:29:40,自動起動,30
2026-01-14 10:30:10,自動停止,20
2026-01-14 10:30:30,自動起動,10
2026-01-14 10:30:40,段取り,440
2026-01-14 10:38:00,自動起動,30
2026-01-14 10:38:30,自動停止,10
2026-01-14 10:38:40,自動起動,10
2026-01-14 10:38:50,自動停止,40
2026-01-14 10:39:30,自動起動,20
2026-01-14 10:39:50,自動停止,10
2026-01-14 10:40:00,自動起動,40
2026-01-14 10:40:40,自動停止,270
2026-01-14 10:45:10,段取り,90
2026-01-14 10:46:40,自動起動,110
2026-01-14 10:48:30,自動停止,110
2026-01-14 10:50:20,自動起動,110
2026-01-14 10:52:10,自動停止,80
2026-01-14 10:53:30,自動起動,110
2026-01-14 10:55:20,自動停止,260
2026-01-14 10:59:40,段取り,90
2026-01-14 11:01:10,自動起動,10
2026-01-14 11:01:20,自動停止,30
2026-01-14 11:01:50,自動起動,30
2026-01-14 11:02:20,自動停止,10
2026-01-14 11:02:30,自動起動,10
2026-01-14 11:02:40,自動停止,300
2026-01-14 11:07:40,自動起動,70
2026-01-14 11:08:50,自動停止,80
