日時,ステータス,経過秒数
2026-06-25 05:00:00,電源断,8170
2026-06-25 07:16:10,自動停止,180
2026-06-25 07:19:10,段取り,1000
2026-06-25 07:35:50,自動停止,10
2026-06-25 07:36:00,自動起動,30
2026-06-25 07:36:30,自動停止,50
2026-06-25 07:37:20,自動起動,10
2026-06-25 07:37:30,自動停止,40
2026-06-25 07:38:10,段取り,30
2026-06-25 07:38:40,自動停止,10
2026-06-25 07:38:50,自動起動,20
2026-06-25 07:39:10,自動停止,20
2026-06-25 07:39:30,自動起動,10
2026-06-25 07:39:40,自動停止,20
2026-06-25 07:40:00,自動起動,10
2026-06-25 07:40:10,自動停止,40
2026-06-25 07:40:50,自動起動,10
2026-06-25 07:41:00,自動停止,30
2026-06-25 07:41:30,自動起動,60
2026-06-25 07:42:30,自動停止,10
2026-06-25 07:42:40,自動起動,10
2026-06-25 07:42:50,自動停止,180
2026-06-25 07:45:50,自動起動,110
2026-06-25 07:47:40,自動停止,100
2026-06-25 07:49:20,自動起動,100
2026-06-25 07:51:00,自動停止,40
2026-06-25 07:51:40,自動起動,100
2026-06-25 07:53:20,自動停止,130
2026-06-25 07:55:30,自動起動,100
2026-06-25 07:57:10,自動停止,40
2026-06-25 07:57:50,自動起動,100
2026-06-25 07:59:30,自動停止,40
2026-06-25 08:00:10,自動起動,100
2026-06-25 08:01:50,自動停止,40
2026-06-25 08:02:30,自動起動,100
2026-06-25 08:04:10,自動停止,40
2026-06-25 08:04:50,自動起動,110
2026-06-25 08:06:40,自動停止,30
2026-06-25 08:07:10,自動起動,110
2026-06-25 08:09:00,自動停止,640
2026-06-25 08:19:40,自動起動,110
2026-06-25 08:21:30,自動停止,80
2026-06-25 08:22:50,自動起動,100
2026-06-25 08:24:30,自動停止,1220
2026-06-25 08:44:50,自動起動,100
2026-06-25 08:46:30,自動停止,30
2026-06-25 08:47:00,自動起動,110
2026-06-25 08:48:50,自動停止,30
2026-06-25 08:49:20,自動起動,110
2026-06-25 08:51:10,自動停止,100
2026-06-25 08:52:50,自動起動,110
2026-06-25 08:54:40,自動停止,30
2026-06-25 08:55:10,自動起動,110
2026-06-25 08:57:00,自動停止,30
2026-06-25 08:57:30,自動起動,110
2026-06-25 08:59:20,自動停止,40
2026-06-25 09:00:00,自動起動,100
