日時,ステータス,経過秒数
2026-06-28 05:00:00,自動停止,6350
2026-06-28 06:45:50,自動起動,10
2026-06-28 06:46:00,自動停止,10
2026-06-28 06:46:10,自動起動,20
2026-06-28 06:46:30,自動停止,10
2026-06-28 06:46:40,自動起動,20
2026-06-28 06:47:00,自動停止,10
2026-06-28 06:47:10,自動起動,10
2026-06-28 06:47:20,自動停止,10
2026-06-28 06:47:30,自動起動,50
2026-06-28 06:48:20,自動停止,10
2026-06-28 06:48:30,自動起動,50
2026-06-28 06:49:20,段取り,1510
2026-06-28 07:14:30,自動停止,10
2026-06-28 07:14:40,自動起動,30
2026-06-28 07:15:10,自動停止,10
2026-06-28 07:15:20,自動起動,10
2026-06-28 07:15:30,自動停止,30
2026-06-28 07:16:00,自動起動,50
2026-06-28 07:16:50,自動停止,20
2026-06-28 07:17:10,自動起動,20
2026-06-28 07:17:30,自動停止,20
2026-06-28 07:17:50,自動起動,20
2026-06-28 07:18:10,自動停止,140
2026-06-28 07:20:30,自動起動,10
2026-06-28 07:20:40,自動停止,10
2026-06-28 07:20:50,自動起動,60
2026-06-28 07:21:50,自動停止,240
2026-06-28 07:25:50,段取り,840
2026-06-28 07:39:50,自動停止,90
2026-06-28 07:41:20,自動起動,40
2026-06-28 07:42:00,自動停止,10
2026-06-28 07:42:10,自動起動,20
2026-06-28 07:42:30,自動停止,10
2026-06-28 07:42:40,段取り,30
2026-06-28 07:43:10,自動起動,130
2026-06-28 07:45:20,自動停止,20
2026-06-28 07:45:40,自動起動,570
2026-06-28 07:55:10,自動停止,290
2026-06-28 08:00:00,段取り,130
2026-06-28 08:02:10,自動起動,90
2026-06-28 08:03:40,自動停止,20
2026-06-28 08:04:00,自動起動,140
2026-06-28 08:06:20,自動停止,10
2026-06-28 08:06:30,自動起動,10
2026-06-28 08:06:40,段取り,20
2026-06-28 08:07:00,自動起動,80
2026-06-28 08:08:20,段取り,2290
2026-06-28 08:46:30,自動起動,30
2026-06-28 08:47:00,自動停止,10
2026-06-28 08:47:10,自動起動,10
2026-06-28 08:47:20,自動停止,20
2026-06-28 08:47:40,自動起動,150
2026-06-28 08:50:10,自動停止,10
2026-06-28 08:50:20,段取り,250
2026-06-28 08:54:30,自動停止,10
2026-06-28 08:54:40,自動起動,60
2026-06-28 08:55:40,自動停止,200
2026-06-28 08:59:00,段取り,1350
2026-06-28 09:21:30,自動停止,20
2026-06-28 09:21:50,段取り,10
2026-06-28 09:22:00,自動起動,10
2026-06-28 09:22:10,自動停止,20
2026-06-28 09:22:30,自動起動,20
2026-06-28 09:22:50,自動停止,20
2026-06-28 09:23:10,自動起動,30
2026-06-28 09:23:40,自動停止,10
2026-06-28 09:23:50,段取り,340
2026-06-28 09:29:30,自動停止,20
2026-06-28 09:29:50,自動起動,10
2026-06-28 09:30:00,自動停止,1020
2026-06-28 09:47:00,自動起動,30
2026-06-28 09:47:30,自動停止,40
2026-06-28 09:48:10,自動起動,10
2026-06-28 09:48:20,自動停止,20
2026-06-28 09:48:40,自動起動,80
2026-06-28 09:50:00,自動停止,170
2026-06-28 09:52:50,自動起動,50
2026-06-28 09:53:40,自動停止,20
2026-06-28 09:54:00,自動起動,50
2026-06-28 09:54:50,自動停止,150
2026-06-28 09:57:20,段取り,50
2026-06-28 09:58:10,自動起動,50
2026-06-28 09:59:00,自動停止,10
2026-06-28 09:59:10,自動起動,40
2026-06-28 09:59:50,自動停止,10
2026-06-28 10:00:00,自動起動,20
2026-06-28 10:00:20,段取り,30
2026-06-28 10:00:50,自動起動,20
2026-06-28 10:01:10,自動停止,330
2026-06-28 10:06:40,自動起動,50
2026-06-28 10:07:30,自動停止,10
2026-06-28 10:07:40,自動起動,40
2026-06-28 10:08:20,段取り,140
2026-06-28 10:10:40,自動起動,40
2026-06-28 10:11:20,自動停止,40
2026-06-28 10:12:00,段取り,10
2026-06-28 10:12:10,自動停止,10
2026-06-28 10:12:20,自動起動,30
2026-06-28 10:12:50,自動停止,10
2026-06-28 10:13:00,自動起動,60
2026-06-28 10:14:00,自動停止,180
2026-06-28 10:17:00,自動起動,40
2026-06-28 10:17:40,自動停止,10
2026-06-28 10:17:50,自動起動,60
2026-06-28 10:18:50,自動停止,210
2026-06-28 10:22:20,段取り,20
2026-06-28 10:22:40,電源断,33510
2026-06-28 19:41:10,自動停止,60
2026-06-28 19:42:10,段取り,380
2026-06-28 19:48:30,自動停止,60
2026-06-28 19:49:30,段取り,2980
2026-06-28 20:39:10,自動起動,20
2026-06-28 20:39:30,自動停止,10
2026-06-28 20:39:40,自動起動,10
2026-06-28 20:39:50,自動停止,30
2026-06-28 20:40:20,自動起動,50
2026-06-28 20:41:10,自動停止,80
2026-06-28 20:42:30,段取り,150
2026-06-28 20:45:00,自動起動,20
2026-06-28 20:45:20,自動停止,30
2026-06-28 20:45:50,自動起動,40
2026-06-28 20:46:30,自動停止,120
2026-06-28 20:48:30,段取り,1290
2026-06-28 21:10:00,自動停止,90
2026-06-28 21:11:30,自動起動,30
2026-06-28 21:12:00,自動停止,10
2026-06-28 21:12:10,段取り,20
2026-06-28 21:12:30,自動停止,40
2026-06-28 21:13:10,自動起動,10
2026-06-28 21:13:20,自動停止,10
2026-06-28 21:13:30,段取り,10
2026-06-28 21:13:40,自動停止,50
2026-06-28 21:14:30,段取り,30
2026-06-28 21:15:00,自動停止,10
2026-06-28 21:15:10,自動起動,10
2026-06-28 21:15:20,自動停止,30
2026-06-28 21:15:50,自動起動,10
2026-06-28 21:16:00,自動停止,30
2026-06-28 21:16:30,段取り,10
2026-06-28 21:16:40,自動停止,20
2026-06-28 21:17:00,自動起動,10
2026-06-28 21:17:10,段取り,160
2026-06-28 21:19:50,自動停止,30
2026-06-28 21:20:20,自動起動,110
2026-06-28 21:22:10,自動停止,10
2026-06-28 21:22:20,自動起動,60
2026-06-28 21:23:20,自動停止,490
2026-06-28 21:31:30,段取り,720
2026-06-28 21:43:30,自動停止,40
2026-06-28 21:44:10,自動起動,30
2026-06-28 21:44:40,自動停止,20
2026-06-28 21:45:00,段取り,90
2026-06-28 21:46:30,自動起動,40
2026-06-28 21:47:10,段取り,20
2026-06-28 21:47:30,自動起動,50
2026-06-28 21:48:20,自動停止,20
2026-06-28 21:48:40,段取り,30
2026-06-28 21:49:10,自動停止,20
2026-06-28 21:49:30,段取り,80
2026-06-28 21:50:50,自動停止,10
2026-06-28 21:51:00,自動起動,30
2026-06-28 21:51:30,自動停止,10
2026-06-28 21:51:40,自動起動,20
2026-06-28 21:52:00,段取り,110
2026-06-28 21:53:50,自動停止,20
2026-06-28 21:54:10,自動起動,100
2026-06-28 21:55:50,段取り,20
2026-06-28 21:56:10,自動停止,30
2026-06-28 21:56:40,自動起動,50
2026-06-28 21:57:30,段取り,30
2026-06-28 21:58:00,自動起動,10
2026-06-28 21:58:10,自動停止,10
2026-06-28 21:58:20,自動起動,10
2026-06-28 21:58:30,段取り,250
2026-06-28 22:02:40,自動停止,150
2026-06-28 22:05:10,段取り,10
2026-06-28 22:05:20,自動停止,30
2026-06-28 22:05:50,段取り,40
2026-06-28 22:06:30,自動停止,20
2026-06-28 22:06:50,自動起動,60
2026-06-28 22:07:50,段取り,20
2026-06-28 22:08:10,自動停止,20
2026-06-28 22:08:30,自動起動,60
2026-06-28 22:09:30,自動停止,150
2026-06-28 22:12:00,自動起動,20
2026-06-28 22:12:20,自動停止,10
2026-06-28 22:12:30,自動起動,50
2026-06-28 22:13:20,段取り,30
2026-06-28 22:13:50,自動停止,20
2026-06-28 22:14:10,自動起動,120
2026-06-28 22:16:10,自動停止,170
2026-06-28 22:19:00,段取り,2460
