日時,ステータス,経過秒数
2026-02-12 05:00:00,電源断,16700
2026-02-12 09:38:20,段取り,12290
2026-02-12 13:03:10,アラーム,20
2026-02-12 13:03:30,段取り,90
2026-02-12 13:05:00,自動停止,10
2026-02-12 13:05:10,自動起動,20
2026-02-12 13:05:30,自動停止,20
2026-02-12 13:05:50,自動起動,10
2026-02-12 13:06:00,段取り,10
2026-02-12 13:06:10,自動起動,130
2026-02-12 13:08:20,自動停止,20
2026-02-12 13:08:40,自動起動,110
2026-02-12 13:10:30,自動停止,20
2026-02-12 13:10:50,自動起動,100
2026-02-12 13:12:30,自動停止,30
2026-02-12 13:13:00,自動起動,100
2026-02-12 13:14:40,自動停止,10
2026-02-12 13:14:50,自動起動,110
2026-02-12 13:16:40,自動停止,10
2026-02-12 13:16:50,自動起動,110
2026-02-12 13:18:40,自動停止,170
2026-02-12 13:21:30,段取り,160
2026-02-12 13:24:10,自動停止,10
2026-02-12 13:24:20,自動起動,20
2026-02-12 13:24:40,自動停止,10
2026-02-12 13:24:50,自動起動,50
2026-02-12 13:25:40,自動停止,30
2026-02-12 13:26:10,自動起動,20
2026-02-12 13:26:30,段取り,10
2026-02-12 13:26:40,自動停止,10
2026-02-12 13:26:50,自動起動,50
2026-02-12 13:27:40,自動停止,10
2026-02-12 13:27:50,自動起動,20
2026-02-12 13:28:10,自動停止,10
2026-02-12 13:28:20,自動起動,150
2026-02-12 13:30:50,自動停止,10
2026-02-12 13:31:00,自動起動,160
2026-02-12 13:33:40,自動停止,20
2026-02-12 13:34:00,自動起動,140
2026-02-12 13:36:20,自動停止,20
2026-02-12 13:36:40,自動起動,100
2026-02-12 13:38:20,電源断,5870
2026-02-12 15:16:10,段取り,3590
2026-02-12 16:16:00,電源断,45840
