日時,ステータス,経過秒数
2026-06-11 05:00:00,電源断,12630
2026-06-11 08:30:30,段取り,720
2026-06-11 08:42:30,自動停止,20
2026-06-11 08:42:50,自動起動,110
2026-06-11 08:44:40,自動停止,30
2026-06-11 08:45:10,段取り,20
2026-06-11 08:45:30,自動停止,20
2026-06-11 08:45:50,自動起動,200
2026-06-11 08:49:10,自動停止,180
2026-06-11 08:52:10,自動起動,250
2026-06-11 08:56:20,自動停止,60
2026-06-11 08:57:20,自動起動,260
2026-06-11 09:01:40,自動停止,60
2026-06-11 09:02:40,自動起動,260
2026-06-11 09:07:00,自動停止,70
2026-06-11 09:08:10,自動起動,250
2026-06-11 09:12:20,自動停止,60
2026-06-11 09:13:20,自動起動,270
2026-06-11 09:17:50,自動停止,400
2026-06-11 09:24:30,自動起動,260
2026-06-11 09:28:50,自動停止,260
2026-06-11 09:33:10,自動起動,260
2026-06-11 09:37:30,自動停止,60
2026-06-11 09:38:30,自動起動,260
2026-06-11 09:42:50,自動停止,60
2026-06-11 09:43:50,自動起動,260
2026-06-11 09:48:10,自動停止,60
2026-06-11 09:49:10,自動起動,270
2026-06-11 09:53:40,自動停止,60
2026-06-11 09:54:40,自動起動,250
2026-06-11 09:58:50,自動停止,70
2026-06-11 10:00:00,自動起動,270
2026-06-11 10:04:30,自動停止,620
2026-06-11 10:14:50,自動起動,120
2026-06-11 10:16:50,自動停止,20
2026-06-11 10:17:10,自動起動,140
2026-06-11 10:19:30,自動停止,70
2026-06-11 10:20:40,自動起動,260
2026-06-11 10:25:00,自動停止,50
2026-06-11 10:25:50,自動起動,270
2026-06-11 10:30:20,自動停止,300
2026-06-11 10:35:20,アラーム,40
2026-06-11 10:36:00,自動停止,40
2026-06-11 10:36:40,段取り,60
2026-06-11 10:37:40,自動停止,10
2026-06-11 10:37:50,段取り,50
2026-06-11 10:38:40,自動停止,60
2026-06-11 10:39:40,自動起動,50
2026-06-11 10:40:30,自動停止,10
2026-06-11 10:40:40,自動起動,80
2026-06-11 10:42:00,自動停止,20
2026-06-11 10:42:20,自動起動,140
2026-06-11 10:44:40,自動停止,70
2026-06-11 10:45:50,自動起動,250
2026-06-11 10:50:00,自動停止,110
2026-06-11 10:51:50,自動起動,270
2026-06-11 10:56:20,自動停止,80
2026-06-11 10:57:40,自動起動,260
2026-06-11 11:02:00,自動停止,50
2026-06-11 11:02:50,自動起動,260
2026-06-11 11:07:10,自動停止,60
2026-06-11 11:08:10,自動起動,250
2026-06-11 11:12:20,自動停止,60
2026-06-11 11:13:20,自動起動,260
2026-06-11 11:17:40,自動停止,80
2026-06-11 11:19:00,自動起動,260
2026-06-11 11:23:20,自動停止,110
2026-06-11 11:25:10,自動起動,250
2026-06-11 11:29:20,自動停止,90
2026-06-11 11:30:50,自動起動,250
2026-06-11 11:35:00,自動停止,60
2026-06-11 11:36:00,自動起動,260
2026-06-11 11:40:20,自動停止,60
2026-06-11 11:41:20,自動起動,270
2026-06-11 11:45:50,自動停止,60
2026-06-11 11:46:50,自動起動,250
2026-06-11 11:51:00,自動停止,60
2026-06-11 11:52:00,自動起動,250
2026-06-11 11:56:10,自動停止,60
2026-06-11 11:57:10,自動起動,260
2026-06-11 12:01:30,自動停止,3060
2026-06-11 12:52:30,自動起動,250
2026-06-11 12:56:40,自動停止,80
2026-06-11 12:58:00,自動起動,250
2026-06-11 13:02:10,自動停止,100
2026-06-11 13:03:50,自動起動,250
2026-06-11 13:08:00,自動停止,70
2026-06-11 13:09:10,自動起動,260
2026-06-11 13:13:30,自動停止,60
2026-06-11 13:14:30,自動起動,260
2026-06-11 13:18:50,自動停止,50
2026-06-11 13:19:40,自動起動,270
2026-06-11 13:24:10,自動停止,60
2026-06-11 13:25:10,自動起動,250
2026-06-11 13:29:20,自動停止,60
2026-06-11 13:30:20,自動起動,260
2026-06-11 13:34:40,自動停止,60
2026-06-11 13:35:40,自動起動,260
2026-06-11 13:40:00,自動停止,60
2026-06-11 13:41:00,自動起動,260
2026-06-11 13:45:20,自動停止,60
2026-06-11 13:46:20,自動起動,260
2026-06-11 13:50:40,自動停止,250
2026-06-11 13:54:50,自動起動,260
2026-06-11 13:59:10,自動停止,200
2026-06-11 14:02:30,自動起動,250
2026-06-11 14:06:40,自動停止,60
2026-06-11 14:07:40,自動起動,260
2026-06-11 14:12:00,自動停止,80
2026-06-11 14:13:20,自動起動,250
2026-06-11 14:17:30,自動停止,50
2026-06-11 14:18:20,自動起動,260
2026-06-11 14:22:40,自動停止,60
2026-06-11 14:23:40,自動起動,260
2026-06-11 14:28:00,自動停止,80
2026-06-11 14:29:20,自動起動,260
2026-06-11 14:33:40,自動停止,50
2026-06-11 14:34:30,自動起動,270
2026-06-11 14:39:00,自動停止,70
2026-06-11 14:40:10,自動起動,170
2026-06-11 14:43:00,自動停止,10
2026-06-11 14:43:10,段取り,330
2026-06-11 14:48:40,自動停止,20
2026-06-11 14:49:00,自動起動,90
2026-06-11 14:50:30,自動停止,320
2026-06-11 14:55:50,自動起動,260
2026-06-11 15:00:10,自動停止,60
2026-06-11 15:01:10,自動起動,260
2026-06-11 15:05:30,自動停止,710
2026-06-11 15:17:20,自動起動,250
2026-06-11 15:21:30,自動停止,60
2026-06-11 15:22:30,自動起動,270
2026-06-11 15:27:00,自動停止,60
2026-06-11 15:28:00,自動起動,250
2026-06-11 15:32:10,自動停止,60
2026-06-11 15:33:10,自動起動,250
2026-06-11 15:37:20,自動停止,60
2026-06-11 15:38:20,自動起動,250
2026-06-11 15:42:30,自動停止,60
2026-06-11 15:43:30,自動起動,260
2026-06-11 15:47:50,自動停止,60
2026-06-11 15:48:50,自動起動,260
2026-06-11 15:53:10,自動停止,30
2026-06-11 15:53:40,アラーム,70
2026-06-11 15:54:50,自動停止,100
2026-06-11 15:56:30,段取り,50
2026-06-11 15:57:20,自動起動,140
2026-06-11 15:59:40,自動停止,30
2026-06-11 16:00:10,自動起動,110
2026-06-11 16:02:00,自動停止,200
2026-06-11 16:05:20,段取り,640
2026-06-11 16:16:00,自動起動,250
2026-06-11 16:20:10,自動停止,60
2026-06-11 16:21:10,自動起動,260
2026-06-11 16:25:30,自動停止,60
2026-06-11 16:26:30,自動起動,260
2026-06-11 16:30:50,自動停止,70
2026-06-11 16:32:00,自動起動,250
2026-06-11 16:36:10,自動停止,70
2026-06-11 16:37:20,自動起動,260
2026-06-11 16:41:40,自動停止,60
2026-06-11 16:42:40,自動起動,260
2026-06-11 16:47:00,自動停止,50
2026-06-11 16:47:50,自動起動,260
2026-06-11 16:52:10,自動停止,50
2026-06-11 16:53:00,自動起動,260
2026-06-11 16:57:20,自動停止,50
2026-06-11 16:58:10,自動起動,250
2026-06-11 17:02:20,自動停止,1270
2026-06-11 17:23:30,自動起動,270
2026-06-11 17:28:00,自動停止,60
2026-06-11 17:29:00,自動起動,260
2026-06-11 17:33:20,自動停止,80
2026-06-11 17:34:40,自動起動,250
2026-06-11 17:38:50,自動停止,90
2026-06-11 17:40:20,自動起動,250
2026-06-11 17:44:30,自動停止,60
2026-06-11 17:45:30,自動起動,260
2026-06-11 17:49:50,自動停止,60
2026-06-11 17:50:50,自動起動,270
2026-06-11 17:55:20,自動停止,50
2026-06-11 17:56:10,自動起動,260
2026-06-11 18:00:30,自動停止,90
2026-06-11 18:02:00,自動起動,260
2026-06-11 18:06:20,自動停止,60
2026-06-11 18:07:20,自動起動,260
2026-06-11 18:11:40,自動停止,380
2026-06-11 18:18:00,自動起動,250
2026-06-11 18:22:10,自動停止,50
2026-06-11 18:23:00,自動起動,260
2026-06-11 18:27:20,自動停止,60
2026-06-11 18:28:20,自動起動,160
2026-06-11 18:31:00,電源断,37740
