日時,ステータス,経過秒数
2026-03-27 05:00:00,電源断,9480
2026-03-27 07:38:00,自動停止,10
2026-03-27 07:38:10,自動起動,2910
2026-03-27 08:26:40,自動停止,1790
2026-03-27 08:56:30,段取り,9560
2026-03-27 11:35:50,自動停止,30
2026-03-27 11:36:20,段取り,200
2026-03-27 11:39:40,自動起動,260
2026-03-27 11:44:00,自動停止,10
2026-03-27 11:44:10,段取り,210
2026-03-27 11:47:40,自動停止,10
2026-03-27 11:47:50,自動起動,10
2026-03-27 11:48:00,自動停止,10
2026-03-27 11:48:10,自動起動,190
2026-03-27 11:51:20,自動停止,10
2026-03-27 11:51:30,自動起動,310
2026-03-27 11:56:40,自動停止,3700
2026-03-27 12:58:20,段取り,530
2026-03-27 13:07:10,自動停止,20
2026-03-27 13:07:30,自動起動,10
2026-03-27 13:07:40,自動停止,90
2026-03-27 13:09:10,自動起動,40
2026-03-27 13:09:50,自動停止,210
2026-03-27 13:13:20,自動起動,30
2026-03-27 13:13:50,自動停止,40
2026-03-27 13:14:30,自動起動,670
2026-03-27 13:25:40,自動停止,10
2026-03-27 13:25:50,自動起動,30
2026-03-27 13:26:20,自動停止,10
2026-03-27 13:26:30,自動起動,80
2026-03-27 13:27:50,自動停止,520
2026-03-27 13:36:30,自動起動,710
2026-03-27 13:48:20,自動停止,10
2026-03-27 13:48:30,自動起動,70
2026-03-27 13:49:40,自動停止,360
2026-03-27 13:55:40,自動起動,770
2026-03-27 14:08:30,自動停止,340
2026-03-27 14:14:10,自動起動,470
2026-03-27 14:22:00,段取り,40
2026-03-27 14:22:40,自動停止,10
2026-03-27 14:22:50,自動起動,310
2026-03-27 14:28:00,自動停止,420
2026-03-27 14:35:00,自動起動,710
2026-03-27 14:46:50,自動停止,130
2026-03-27 14:49:00,自動起動,70
2026-03-27 14:50:10,自動停止,430
2026-03-27 14:57:20,自動起動,710
2026-03-27 15:09:10,自動停止,100
2026-03-27 15:10:50,自動起動,70
2026-03-27 15:12:00,自動停止,430
2026-03-27 15:19:10,自動起動,700
2026-03-27 15:30:50,自動停止,60
2026-03-27 15:31:50,段取り,1240
2026-03-27 15:52:30,自動起動,40
2026-03-27 15:53:10,自動停止,90
2026-03-27 15:54:40,段取り,170
2026-03-27 15:57:30,自動停止,10
2026-03-27 15:57:40,自動起動,40
2026-03-27 15:58:20,自動停止,280
2026-03-27 16:03:00,自動起動,70
2026-03-27 16:04:10,自動停止,150
2026-03-27 16:06:40,自動起動,10
2026-03-27 16:06:50,自動停止,40
2026-03-27 16:07:30,自動起動,50
2026-03-27 16:08:20,自動停止,10
2026-03-27 16:08:30,自動起動,80
2026-03-27 16:09:50,自動停止,10
2026-03-27 16:10:00,段取り,30
2026-03-27 16:10:30,自動起動,10
2026-03-27 16:10:40,段取り,30
2026-03-27 16:11:10,自動停止,20
2026-03-27 16:11:30,自動起動,190
2026-03-27 16:14:40,自動停止,20
2026-03-27 16:15:00,自動起動,20
2026-03-27 16:15:20,自動停止,30
2026-03-27 16:15:50,自動起動,30
2026-03-27 16:16:20,自動停止,10
2026-03-27 16:16:30,自動起動,70
2026-03-27 16:17:40,自動停止,50
2026-03-27 16:18:30,段取り,840
2026-03-27 16:32:30,自動停止,10
2026-03-27 16:32:40,自動起動,30
2026-03-27 16:33:10,自動停止,10
2026-03-27 16:33:20,段取り,1600
2026-03-27 17:00:00,電源断,43200
