日時,ステータス,経過秒数
2026-03-21 05:00:00,電源断,12760
2026-03-21 08:32:40,自動停止,30
2026-03-21 08:33:10,段取り,10
2026-03-21 08:33:20,自動停止,20
2026-03-21 08:33:40,自動起動,730
2026-03-21 08:45:50,自動停止,30
2026-03-21 08:46:20,段取り,120
2026-03-21 08:48:20,自動停止,20
2026-03-21 08:48:40,自動起動,1220
2026-03-21 09:09:00,段取り,13550
2026-03-21 12:54:50,自動停止,10
2026-03-21 12:55:00,自動起動,2220
2026-03-21 13:32:00,自動停止,10
2026-03-21 13:32:10,段取り,420
2026-03-21 13:39:10,自動停止,10
2026-03-21 13:39:20,段取り,100
2026-03-21 13:41:00,自動停止,20
2026-03-21 13:41:20,自動起動,1100
2026-03-21 13:59:40,自動停止,3480
2026-03-21 14:57:40,自動起動,1090
2026-03-21 15:15:50,自動停止,4830
2026-03-21 16:36:20,段取り,1190
2026-03-21 16:56:10,電源断,43430
