日時,ステータス,経過秒数
2026-06-02 05:00:00,電源断,6250
2026-06-02 06:44:10,自動停止,6650
2026-06-02 08:35:00,自動起動,1090
2026-06-02 08:53:10,自動停止,40
2026-06-02 08:53:50,自動起動,862
2026-06-02 09:08:12,パレチェン,10
2026-06-02 09:08:12,自動起動,717
2026-06-02 09:20:09,パレチェン,10
2026-06-02 09:20:09,自動起動,868
2026-06-02 09:34:36,パレチェン,10
2026-06-02 09:34:37,自動起動,663
2026-06-02 09:45:40,自動停止,10
2026-06-02 09:45:50,自動起動,58
2026-06-02 09:46:47,パレチェン,10
2026-06-02 09:46:48,自動起動,812
2026-06-02 10:00:20,自動停止,230
2026-06-02 10:04:10,自動起動,45
2026-06-02 10:04:54,パレチェン,10
2026-06-02 10:04:55,自動起動,708
2026-06-02 10:16:43,パレチェン,10
2026-06-02 10:16:43,自動起動,869
2026-06-02 10:31:11,パレチェン,10
2026-06-02 10:31:12,自動起動,714
2026-06-02 10:43:06,パレチェン,10
2026-06-02 10:43:06,自動起動,871
2026-06-02 10:57:36,パレチェン,10
2026-06-02 10:57:37,自動起動,712
2026-06-02 11:09:29,パレチェン,10
2026-06-02 11:09:29,自動起動,874
2026-06-02 11:24:03,パレチェン,10
2026-06-02 11:24:03,自動起動,657
2026-06-02 11:35:00,自動停止,570
2026-06-02 11:44:30,自動起動,53
2026-06-02 11:45:23,パレチェン,10
2026-06-02 11:45:23,自動起動,866
2026-06-02 11:59:49,パレチェン,10
2026-06-02 11:59:49,自動起動,661
2026-06-02 12:10:50,自動停止,10
2026-06-02 12:11:00,段取り,220
2026-06-02 12:14:40,自動停止,10
2026-06-02 12:14:50,自動起動,57
2026-06-02 12:15:46,パレチェン,10
2026-06-02 12:15:47,自動起動,870
2026-06-02 12:30:17,パレチェン,10
2026-06-02 12:30:17,自動起動,717
2026-06-02 12:42:13,パレチェン,10
2026-06-02 12:42:14,自動起動,866
2026-06-02 12:56:40,パレチェン,10
2026-06-02 12:56:40,自動起動,713
2026-06-02 13:08:33,パレチェン,10
2026-06-02 13:08:33,自動起動,864
2026-06-02 13:22:57,パレチェン,10
2026-06-02 13:22:57,自動起動,663
2026-06-02 13:34:00,自動停止,630
2026-06-02 13:44:30,自動起動,48
2026-06-02 13:45:17,パレチェン,10
2026-06-02 13:45:18,自動起動,865
2026-06-02 13:59:43,パレチェン,10
2026-06-02 13:59:43,自動起動,716
2026-06-02 14:11:39,パレチェン,10
2026-06-02 14:11:39,自動起動,872
2026-06-02 14:26:11,パレチェン,10
2026-06-02 14:26:11,自動起動,713
2026-06-02 14:38:04,パレチェン,10
2026-06-02 14:38:04,自動起動,874
2026-06-02 14:52:37,パレチェン,10
2026-06-02 14:52:38,自動起動,710
2026-06-02 15:04:28,パレチェン,10
2026-06-02 15:04:28,自動起動,868
2026-06-02 15:18:55,パレチェン,10
2026-06-02 15:18:56,自動起動,713
2026-06-02 15:30:48,パレチェン,10
2026-06-02 15:30:49,自動起動,868
2026-06-02 15:45:17,パレチェン,10
2026-06-02 15:45:17,自動起動,717
2026-06-02 15:57:13,パレチェン,10
2026-06-02 15:57:14,自動起動,865
2026-06-02 16:11:39,パレチェン,10
2026-06-02 16:11:39,自動起動,714
2026-06-02 16:23:32,パレチェン,10
2026-06-02 16:23:33,自動起動,863
2026-06-02 16:37:56,パレチェン,10
2026-06-02 16:37:56,自動起動,664
2026-06-02 16:49:00,自動停止,10
2026-06-02 16:49:10,自動起動,39
2026-06-02 16:49:48,パレチェン,10
2026-06-02 16:49:49,自動起動,821
2026-06-02 17:03:30,自動停止,360
2026-06-02 17:09:30,段取り,500
2026-06-02 17:17:50,自動起動,30
2026-06-02 17:18:20,パレチェン,10
2026-06-02 17:18:20,自動起動,1145
2026-06-02 17:37:25,パレチェン,10
2026-06-02 17:37:25,自動起動,871
2026-06-02 17:51:55,パレチェン,10
2026-06-02 17:51:56,自動起動,1152
2026-06-02 18:11:08,パレチェン,10
2026-06-02 18:11:08,自動起動,812
2026-06-02 18:24:40,自動停止,820
2026-06-02 18:38:20,自動起動,55
2026-06-02 18:39:14,パレチェン,10
2026-06-02 18:39:15,自動起動,1143
2026-06-02 18:58:18,パレチェン,10
2026-06-02 18:58:18,自動起動,871
2026-06-02 19:12:49,パレチェン,10
2026-06-02 19:12:49,自動起動,1101
2026-06-02 19:31:10,自動停止,20
2026-06-02 19:31:30,段取り,340
2026-06-02 19:37:10,自動停止,10
2026-06-02 19:37:20,自動起動,44
2026-06-02 19:38:03,パレチェン,10
2026-06-02 19:38:04,自動起動,865
2026-06-02 19:52:29,パレチェン,10
2026-06-02 19:52:29,自動起動,1091
2026-06-02 20:10:40,自動停止,230
2026-06-02 20:14:30,電源断,31100
