日時,ステータス,経過秒数
2026-02-18 05:00:00,電源断,5810
2026-02-18 06:36:50,自動停止,6150
2026-02-18 08:19:20,自動起動,1100
2026-02-18 08:37:40,自動停止,390
2026-02-18 08:44:10,段取り,160
2026-02-18 08:46:50,自動起動,430
2026-02-18 08:54:00,自動停止,10
2026-02-18 08:54:10,段取り,70
2026-02-18 08:55:20,自動停止,10
2026-02-18 08:55:30,自動起動,310
2026-02-18 09:00:40,自動停止,370
2026-02-18 09:06:50,段取り,390
2026-02-18 09:13:20,自動起動,800
2026-02-18 09:26:40,自動停止,300
2026-02-18 09:31:40,自動起動,790
2026-02-18 09:44:50,自動停止,1180
2026-02-18 10:04:30,自動起動,780
2026-02-18 10:17:30,自動停止,250
2026-02-18 10:21:40,自動起動,780
2026-02-18 10:34:40,自動停止,40
2026-02-18 10:35:20,自動起動,810
2026-02-18 10:48:50,自動停止,20
2026-02-18 10:49:10,自動起動,730
2026-02-18 11:01:20,自動停止,130
2026-02-18 11:03:30,自動起動,10
2026-02-18 11:03:40,自動停止,90
2026-02-18 11:05:10,段取り,160
2026-02-18 11:07:50,電源断,230
2026-02-18 11:11:40,自動停止,10
2026-02-18 11:11:50,段取り,210
2026-02-18 11:15:20,自動停止,10
2026-02-18 11:15:30,段取り,560
2026-02-18 11:24:50,自動停止,10
2026-02-18 11:25:00,自動起動,730
2026-02-18 11:37:10,自動停止,60
2026-02-18 11:38:10,自動起動,60
2026-02-18 11:39:10,自動停止,260
2026-02-18 11:43:30,自動起動,780
2026-02-18 11:56:30,自動停止,420
2026-02-18 12:03:30,自動起動,780
2026-02-18 12:16:30,自動停止,230
2026-02-18 12:20:20,自動起動,780
2026-02-18 12:33:20,自動停止,200
2026-02-18 12:36:40,自動起動,800
2026-02-18 12:50:00,自動停止,200
2026-02-18 12:53:20,自動起動,780
2026-02-18 13:06:20,自動停止,230
2026-02-18 13:10:10,自動起動,780
2026-02-18 13:23:10,自動停止,250
2026-02-18 13:27:20,自動起動,770
2026-02-18 13:40:10,自動停止,210
2026-02-18 13:43:40,自動起動,770
2026-02-18 13:56:30,自動停止,200
2026-02-18 13:59:50,自動起動,780
2026-02-18 14:12:50,自動停止,200
2026-02-18 14:16:10,自動起動,780
2026-02-18 14:29:10,自動停止,210
2026-02-18 14:32:40,自動起動,780
2026-02-18 14:45:40,自動停止,210
2026-02-18 14:49:10,自動起動,790
2026-02-18 15:02:20,自動停止,190
2026-02-18 15:05:30,自動起動,780
2026-02-18 15:18:30,自動停止,4610
2026-02-18 16:35:20,段取り,200
2026-02-18 16:38:40,自動停止,130
2026-02-18 16:40:50,自動起動,4690
2026-02-18 17:59:00,自動停止,360
2026-02-18 18:05:00,自動起動,1570
2026-02-18 18:31:10,自動停止,320
2026-02-18 18:36:30,自動起動,6280
2026-02-18 20:21:10,自動停止,20
2026-02-18 20:21:30,段取り,10
2026-02-18 20:21:40,電源断,31100
