日時,ステータス,経過秒数
2026-03-05 05:00:00,電源断,12050
2026-03-05 08:20:50,自動停止,310
2026-03-05 08:26:00,自動起動,1100
2026-03-05 08:44:20,自動停止,660
2026-03-05 08:55:20,段取り,840
2026-03-05 09:09:20,自動停止,10
2026-03-05 09:09:30,段取り,60
2026-03-05 09:10:30,自動停止,10
2026-03-05 09:10:40,自動起動,280
2026-03-05 09:15:20,自動停止,370
2026-03-05 09:21:30,自動起動,280
2026-03-05 09:26:10,自動停止,290
2026-03-05 09:31:00,自動起動,280
2026-03-05 09:35:40,自動停止,190
2026-03-05 09:38:50,自動起動,280
2026-03-05 09:43:30,自動停止,1210
2026-03-05 10:03:40,自動起動,280
2026-03-05 10:08:20,自動停止,230
2026-03-05 10:12:10,自動起動,280
2026-03-05 10:16:50,自動停止,1040
2026-03-05 10:34:10,自動起動,280
2026-03-05 10:38:50,自動停止,190
2026-03-05 10:42:00,自動起動,280
2026-03-05 10:46:40,自動停止,220
2026-03-05 10:50:20,自動起動,280
2026-03-05 10:55:00,自動停止,170
2026-03-05 10:57:50,自動起動,280
2026-03-05 11:02:30,自動停止,170
2026-03-05 11:05:20,自動起動,280
2026-03-05 11:10:00,自動停止,190
2026-03-05 11:13:10,自動起動,280
2026-03-05 11:17:50,自動停止,160
2026-03-05 11:20:30,自動起動,280
2026-03-05 11:25:10,自動停止,180
2026-03-05 11:28:10,自動起動,90
2026-03-05 11:29:40,自動停止,10
2026-03-05 11:29:50,段取り,30
2026-03-05 11:30:20,自動起動,20
2026-03-05 11:30:40,自動停止,10
2026-03-05 11:30:50,段取り,60
2026-03-05 11:31:50,自動起動,170
2026-03-05 11:34:40,自動停止,340
2026-03-05 11:40:20,自動起動,280
2026-03-05 11:45:00,自動停止,3170
2026-03-05 12:37:50,自動起動,290
2026-03-05 12:42:40,自動停止,200
2026-03-05 12:46:00,自動起動,280
2026-03-05 12:50:40,自動停止,170
2026-03-05 12:53:30,自動起動,270
2026-03-05 12:58:00,自動停止,170
2026-03-05 13:00:50,自動起動,280
2026-03-05 13:05:30,自動停止,170
2026-03-05 13:08:20,自動起動,280
2026-03-05 13:13:00,自動停止,190
2026-03-05 13:16:10,自動起動,270
2026-03-05 13:20:40,自動停止,180
2026-03-05 13:23:40,自動起動,280
2026-03-05 13:28:20,自動停止,180
2026-03-05 13:31:20,自動起動,280
2026-03-05 13:36:00,自動停止,160
2026-03-05 13:38:40,自動起動,280
2026-03-05 13:43:20,自動停止,770
2026-03-05 13:56:10,自動起動,280
2026-03-05 14:00:50,自動停止,220
2026-03-05 14:04:30,自動起動,280
2026-03-05 14:09:10,自動停止,830
2026-03-05 14:23:00,自動起動,280
2026-03-05 14:27:40,自動停止,500
2026-03-05 14:36:00,自動起動,280
2026-03-05 14:40:40,自動停止,1300
2026-03-05 15:02:20,自動起動,280
2026-03-05 15:07:00,自動停止,960
2026-03-05 15:23:00,自動起動,280
