日時,ステータス,経過秒数
2026-03-09 05:00:00,電源断,5520
2026-03-09 06:32:00,段取り,10
2026-03-09 06:32:10,アラーム,10
2026-03-09 06:32:20,段取り,30
2026-03-09 06:32:50,自動停止,50
2026-03-09 06:33:40,段取り,20
2026-03-09 06:34:00,アラーム,10
2026-03-09 06:34:10,段取り,350
2026-03-09 06:40:00,自動停止,130
2026-03-09 06:42:10,段取り,20
2026-03-09 06:42:30,自動停止,20
2026-03-09 06:42:50,自動起動,7510
2026-03-09 08:48:00,自動停止,270
2026-03-09 08:52:30,自動起動,20
2026-03-09 08:52:50,自動停止,2070
2026-03-09 09:27:20,段取り,180
2026-03-09 09:30:20,自動停止,30
2026-03-09 09:30:50,自動起動,250
2026-03-09 09:35:00,自動停止,120
2026-03-09 09:37:00,自動起動,60
2026-03-09 09:38:00,自動停止,40
2026-03-09 09:38:40,自動起動,170
2026-03-09 09:41:30,自動停止,100
2026-03-09 09:43:10,自動起動,1330
2026-03-09 10:05:20,自動停止,400
2026-03-09 10:12:00,自動起動,2080
2026-03-09 10:46:40,自動停止,490
2026-03-09 10:54:50,自動起動,10
2026-03-09 10:55:00,自動停止,300
2026-03-09 11:00:00,段取り,110
2026-03-09 11:01:50,自動起動,10
2026-03-09 11:02:00,自動停止,10
2026-03-09 11:02:10,自動起動,1210
2026-03-09 11:22:20,自動停止,180
2026-03-09 11:25:20,自動起動,20
2026-03-09 11:25:40,自動停止,90
2026-03-09 11:27:10,自動起動,1190
2026-03-09 11:47:00,自動停止,70
2026-03-09 11:48:10,自動起動,20
2026-03-09 11:48:30,自動停止,10
2026-03-09 11:48:40,自動起動,1190
2026-03-09 12:08:30,自動停止,2360
2026-03-09 12:47:50,自動起動,20
2026-03-09 12:48:10,自動停止,10
2026-03-09 12:48:20,自動起動,1190
2026-03-09 13:08:10,自動停止,680
2026-03-09 13:19:30,自動起動,10
2026-03-09 13:19:40,自動停止,20
2026-03-09 13:20:00,段取り,110
2026-03-09 13:21:50,自動停止,40
2026-03-09 13:22:30,自動起動,10
2026-03-09 13:22:40,自動停止,140
2026-03-09 13:25:00,段取り,110
2026-03-09 13:26:50,自動停止,10
2026-03-09 13:27:00,段取り,20
2026-03-09 13:27:20,自動停止,10
2026-03-09 13:27:30,自動起動,40
2026-03-09 13:28:10,自動停止,40
2026-03-09 13:28:50,自動起動,840
2026-03-09 13:42:50,自動停止,450
2026-03-09 13:50:20,自動起動,20
2026-03-09 13:50:40,自動停止,60
2026-03-09 13:51:40,自動起動,40
2026-03-09 13:52:20,自動停止,40
2026-03-09 13:53:00,自動起動,10
2026-03-09 13:53:10,段取り,10
2026-03-09 13:53:20,自動停止,10
2026-03-09 13:53:30,段取り,180
2026-03-09 13:56:30,自動停止,10
2026-03-09 13:56:40,自動起動,840
2026-03-09 14:10:40,自動停止,980
2026-03-09 14:27:00,自動起動,20
2026-03-09 14:27:20,自動停止,340
2026-03-09 14:33:00,段取り,410
2026-03-09 14:39:50,自動起動,10
2026-03-09 14:40:00,自動停止,30
2026-03-09 14:40:30,自動起動,10
2026-03-09 14:40:40,自動停止,10
2026-03-09 14:40:50,自動起動,10
2026-03-09 14:41:00,自動停止,110
2026-03-09 14:42:50,自動起動,20
2026-03-09 14:43:10,自動停止,40
2026-03-09 14:43:50,自動起動,10
2026-03-09 14:44:00,自動停止,100
2026-03-09 14:45:40,自動起動,40
2026-03-09 14:46:20,自動停止,10
2026-03-09 14:46:30,自動起動,100
2026-03-09 14:48:10,段取り,540
2026-03-09 14:57:10,自動起動,140
2026-03-09 14:59:30,自動停止,40
2026-03-09 15:00:10,自動起動,140
2026-03-09 15:02:30,自動停止,590
2026-03-09 15:12:20,自動起動,150
2026-03-09 15:14:50,自動停止,1030
2026-03-09 15:32:00,段取り,20
2026-03-09 15:32:20,アラーム,10
2026-03-09 15:32:30,段取り,1440
2026-03-09 15:56:30,自動停止,120
2026-03-09 15:58:30,自動起動,50
2026-03-09 15:59:20,段取り,10
2026-03-09 15:59:30,自動起動,1180
2026-03-09 16:19:10,自動停止,110
2026-03-09 16:21:00,自動起動,2320
2026-03-09 16:59:40,自動停止,630
2026-03-09 17:10:10,自動起動,20
2026-03-09 17:10:30,自動停止,30
2026-03-09 17:11:00,自動起動,30
2026-03-09 17:11:30,自動停止,20
2026-03-09 17:11:50,アラーム,50
2026-03-09 17:12:40,自動停止,10
2026-03-09 17:12:50,自動起動,7830
2026-03-09 19:23:20,段取り,80
2026-03-09 19:24:40,自動停止,10
2026-03-09 19:24:50,自動起動,3910
2026-03-09 20:30:00,自動停止,1270
2026-03-09 20:51:10,自動起動,3130
2026-03-09 21:43:20,段取り,70
2026-03-09 21:44:30,自動起動,1090
2026-03-09 22:02:40,段取り,20
2026-03-09 22:03:00,自動起動,1260
2026-03-09 22:24:00,自動停止,10
2026-03-09 22:24:10,段取り,90
2026-03-09 22:25:40,自動停止,10
2026-03-09 22:25:50,自動起動,1650
2026-03-09 22:53:20,自動停止,10
2026-03-09 22:53:30,段取り,590
2026-03-09 23:03:20,自動停止,10
2026-03-09 23:03:30,自動起動,5270
2026-03-10 00:31:20,電源断,16120
