日時,ステータス,経過秒数
2026-06-16 05:00:00,電源断,5670
2026-06-16 06:34:30,段取り,120
2026-06-16 06:36:30,自動停止,10
2026-06-16 06:36:40,自動起動,2050
2026-06-16 07:10:50,自動停止,10
2026-06-16 07:11:00,自動起動,10
2026-06-16 07:11:10,自動停止,30
2026-06-16 07:11:40,自動起動,80
2026-06-16 07:13:00,自動停止,30
2026-06-16 07:13:30,自動起動,90
2026-06-16 07:15:00,自動停止,20
2026-06-16 07:15:20,自動起動,190
2026-06-16 07:18:30,自動停止,20
2026-06-16 07:18:50,自動起動,60
2026-06-16 07:19:50,自動停止,660
2026-06-16 07:30:50,自動起動,10
2026-06-16 07:31:00,自動停止,30
2026-06-16 07:31:30,自動起動,340
2026-06-16 07:37:10,自動停止,30
2026-06-16 07:37:40,自動起動,20
2026-06-16 07:38:00,自動停止,210
2026-06-16 07:41:30,自動起動,360
2026-06-16 07:47:30,自動停止,150
2026-06-16 07:50:00,自動起動,330
2026-06-16 07:55:30,自動停止,10
2026-06-16 07:55:40,自動起動,20
2026-06-16 07:56:00,自動停止,160
2026-06-16 07:58:40,自動起動,350
2026-06-16 08:04:30,自動停止,230
2026-06-16 08:08:20,自動起動,20
2026-06-16 08:08:40,自動停止,10
2026-06-16 08:08:50,段取り,20
2026-06-16 08:09:10,アラーム,30
2026-06-16 08:09:40,段取り,190
2026-06-16 08:12:50,自動停止,10
2026-06-16 08:13:00,自動起動,60
2026-06-16 08:14:00,段取り,50
2026-06-16 08:14:50,自動停止,10
2026-06-16 08:15:00,自動起動,60
2026-06-16 08:16:00,段取り,20
2026-06-16 08:16:20,自動停止,10
2026-06-16 08:16:30,段取り,260
2026-06-16 08:20:50,自動停止,10
2026-06-16 08:21:00,自動起動,5000
2026-06-16 09:44:20,段取り,20
2026-06-16 09:44:40,自動停止,10
2026-06-16 09:44:50,自動起動,650
2026-06-16 09:55:40,アラーム,230
2026-06-16 09:59:30,段取り,880
2026-06-16 10:14:10,アラーム,180
2026-06-16 10:17:10,段取り,10
2026-06-16 10:17:20,自動停止,10
2026-06-16 10:17:30,自動起動,1010
2026-06-16 10:34:20,自動停止,10
2026-06-16 10:34:30,自動起動,510
2026-06-16 10:43:00,自動停止,190
2026-06-16 10:46:10,自動起動,10
2026-06-16 10:46:20,自動停止,280
2026-06-16 10:51:00,段取り,10
2026-06-16 10:51:10,アラーム,130
2026-06-16 10:53:20,段取り,20
2026-06-16 10:53:40,アラーム,310
2026-06-16 10:58:50,自動停止,10
2026-06-16 10:59:00,自動起動,10
2026-06-16 10:59:10,自動停止,10
2026-06-16 10:59:20,自動起動,330
2026-06-16 11:04:50,自動停止,20
2026-06-16 11:05:10,自動起動,20
2026-06-16 11:05:30,自動停止,140
2026-06-16 11:07:50,自動起動,360
2026-06-16 11:13:50,自動停止,130
2026-06-16 11:16:00,自動起動,100
2026-06-16 11:17:40,自動停止,20
2026-06-16 11:18:00,段取り,470
2026-06-16 11:25:50,自動起動,360
2026-06-16 11:31:50,自動停止,10
2026-06-16 11:32:00,自動起動,60
2026-06-16 11:33:00,自動停止,30
2026-06-16 11:33:30,自動起動,20
2026-06-16 11:33:50,自動停止,70
2026-06-16 11:35:00,自動起動,360
2026-06-16 11:41:00,自動停止,160
2026-06-16 11:43:40,自動起動,360
2026-06-16 11:49:40,自動停止,60
2026-06-16 11:50:40,自動起動,350
2026-06-16 11:56:30,自動停止,50
2026-06-16 11:57:20,自動起動,360
2026-06-16 12:03:20,自動停止,2450
2026-06-16 12:44:10,自動起動,350
2026-06-16 12:50:00,自動停止,60
2026-06-16 12:51:00,自動起動,350
2026-06-16 12:56:50,自動停止,60
