日時,ステータス,経過秒数
2026-06-08 05:00:00,電源断,5450
2026-06-08 06:30:50,段取り,170
2026-06-08 06:33:40,自動停止,60
2026-06-08 06:34:40,自動起動,9
2026-06-08 06:34:49,パレチェン,10
2026-06-08 06:34:49,自動起動,281
2026-06-08 06:39:30,自動停止,30
2026-06-08 06:40:00,自動起動,10
2026-06-08 06:40:10,自動停止,90
2026-06-08 06:41:40,自動起動,12
2026-06-08 06:41:51,パレチェン,10
2026-06-08 06:41:52,自動起動,298
2026-06-08 06:46:50,自動停止,160
2026-06-08 06:49:30,自動起動,18
2026-06-08 06:49:48,パレチェン,10
2026-06-08 06:49:48,自動起動,302
2026-06-08 06:54:50,自動停止,70
2026-06-08 06:56:00,自動起動,15
2026-06-08 06:56:15,パレチェン,10
2026-06-08 06:56:15,自動起動,305
2026-06-08 07:01:20,自動停止,160
2026-06-08 07:04:00,自動起動,8
2026-06-08 07:04:08,パレチェン,10
2026-06-08 07:04:08,自動起動,282
2026-06-08 07:08:50,自動停止,70
2026-06-08 07:10:00,自動起動,20
2026-06-08 07:10:20,自動停止,90
2026-06-08 07:11:50,自動起動,3
2026-06-08 07:11:53,パレチェン,10
2026-06-08 07:11:53,自動起動,317
2026-06-08 07:17:10,自動停止,520
2026-06-08 07:25:50,自動起動,6
2026-06-08 07:25:56,パレチェン,10
2026-06-08 07:25:56,自動起動,94
2026-06-08 07:27:30,自動停止,10
2026-06-08 07:27:40,自動起動,1
2026-06-08 07:27:41,パレチェン,10
2026-06-08 07:27:41,自動起動,59
2026-06-08 07:28:40,自動停止,14
2026-06-08 07:28:54,パレチェン,10
2026-06-08 07:28:54,自動停止,6
2026-06-08 07:29:00,自動起動,50
2026-06-08 07:29:50,自動停止,60
2026-06-08 07:30:50,自動起動,70
2026-06-08 07:32:00,自動停止,10
2026-06-08 07:32:10,自動起動,230
2026-06-08 07:36:00,自動停止,10
2026-06-08 07:36:10,自動起動,20
2026-06-08 07:36:30,自動停止,230
2026-06-08 07:40:20,自動起動,7
2026-06-08 07:40:27,パレチェン,10
2026-06-08 07:40:27,自動起動,373
2026-06-08 07:46:40,自動停止,50
2026-06-08 07:47:30,段取り,1200
2026-06-08 08:07:30,自動停止,120
2026-06-08 08:09:30,段取り,110
2026-06-08 08:11:20,自動停止,230
2026-06-08 08:15:10,段取り,550
2026-06-08 08:24:20,自動停止,60
2026-06-08 08:25:20,自動起動,2
2026-06-08 08:25:21,パレチェン,10
2026-06-08 08:25:22,自動起動,28
2026-06-08 08:25:50,自動停止,18
2026-06-08 08:26:08,パレチェン,10
2026-06-08 08:26:08,自動停止,2
2026-06-08 08:26:10,自動起動,120
2026-06-08 08:28:10,段取り,570
2026-06-08 08:37:40,自動起動,40
2026-06-08 08:38:20,段取り,550
2026-06-08 08:47:30,自動起動,270
2026-06-08 08:52:00,自動停止,20
2026-06-08 08:52:20,段取り,840
2026-06-08 09:06:20,自動停止,10
2026-06-08 09:06:30,段取り,10
2026-06-08 09:06:40,自動起動,3
2026-06-08 09:06:43,パレチェン,10
2026-06-08 09:06:43,自動起動,37
2026-06-08 09:07:20,自動停止,220
2026-06-08 09:11:00,自動起動,10
2026-06-08 09:11:10,自動停止,20
2026-06-08 09:11:30,自動起動,50
2026-06-08 09:12:20,自動停止,10
2026-06-08 09:12:30,自動起動,10
2026-06-08 09:12:40,自動停止,10
2026-06-08 09:12:50,自動起動,10
2026-06-08 09:13:00,自動停止,10
2026-06-08 09:13:10,自動起動,10
2026-06-08 09:13:20,自動停止,10
2026-06-08 09:13:30,自動起動,60
2026-06-08 09:14:30,自動停止,20
2026-06-08 09:14:50,段取り,1220
2026-06-08 09:35:10,自動停止,20
2026-06-08 09:35:30,段取り,270
2026-06-08 09:40:00,自動停止,60
2026-06-08 09:41:00,自動起動,110
2026-06-08 09:42:50,自動停止,40
2026-06-08 09:43:30,自動起動,150
2026-06-08 09:46:00,自動停止,10
2026-06-08 09:46:10,自動起動,10
2026-06-08 09:46:20,自動停止,210
2026-06-08 09:49:50,自動起動,50
2026-06-08 09:50:40,自動停止,80
2026-06-08 09:52:00,自動起動,140
2026-06-08 09:54:20,自動停止,10
2026-06-08 09:54:30,自動起動,600
2026-06-08 10:04:30,自動停止,440
2026-06-08 10:11:50,自動起動,930
2026-06-08 10:27:20,自動停止,60
2026-06-08 10:28:20,自動起動,2160
2026-06-08 11:04:20,自動停止,10
2026-06-08 11:04:30,自動起動,3590
2026-06-08 12:04:20,自動停止,2570
2026-06-08 12:47:10,自動起動,140
2026-06-08 12:49:30,自動停止,190
2026-06-08 12:52:40,自動起動,10
2026-06-08 12:52:50,自動停止,170
2026-06-08 12:55:40,段取り,100
2026-06-08 12:57:20,自動停止,10
2026-06-08 12:57:30,段取り,80
2026-06-08 12:58:50,自動停止,40
2026-06-08 12:59:30,自動起動,150
2026-06-08 13:02:00,自動停止,150
