日時,ステータス,経過秒数
2026-04-14 05:00:00,電源断,12720
2026-04-14 08:32:00,段取り,260
2026-04-14 08:36:20,自動停止,10
2026-04-14 08:36:30,自動起動,650
2026-04-14 08:47:20,自動停止,980
2026-04-14 09:03:40,自動起動,23
2026-04-14 09:04:02,パレチェン,10
2026-04-14 09:04:03,自動起動,517
2026-04-14 09:12:40,自動停止,1100
2026-04-14 09:31:00,自動起動,13
2026-04-14 09:31:12,パレチェン,10
2026-04-14 09:31:13,自動起動,515
2026-04-14 09:39:47,パレチェン,10
2026-04-14 09:39:48,自動起動,512
2026-04-14 09:48:20,自動停止,240
2026-04-14 09:52:20,自動起動,10
2026-04-14 09:52:29,パレチェン,10
2026-04-14 09:52:30,自動起動,517
2026-04-14 10:01:06,パレチェン,10
2026-04-14 10:01:07,自動起動,513
2026-04-14 10:09:40,自動停止,10160
2026-04-14 12:59:00,自動起動,4
2026-04-14 12:59:03,パレチェン,10
2026-04-14 12:59:04,自動起動,518
2026-04-14 13:07:41,パレチェン,10
2026-04-14 13:07:42,自動起動,518
2026-04-14 13:16:20,自動停止,1570
2026-04-14 13:42:30,自動起動,12
2026-04-14 13:42:41,パレチェン,10
2026-04-14 13:42:42,自動起動,514
2026-04-14 13:51:15,パレチェン,10
2026-04-14 13:51:16,自動起動,514
2026-04-14 13:59:50,自動停止,470
2026-04-14 14:07:40,自動起動,11
2026-04-14 14:07:50,パレチェン,10
2026-04-14 14:07:51,自動起動,499
2026-04-14 14:16:10,自動停止,80
2026-04-14 14:17:30,自動起動,16
2026-04-14 14:17:45,パレチェン,10
2026-04-14 14:17:46,自動起動,514
2026-04-14 14:26:20,自動停止,50
2026-04-14 14:27:10,自動起動,14
2026-04-14 14:27:23,パレチェン,10
2026-04-14 14:27:24,自動起動,506
2026-04-14 14:35:50,自動停止,450
2026-04-14 14:43:20,自動起動,2
2026-04-14 14:43:21,パレチェン,10
2026-04-14 14:43:22,自動起動,518
2026-04-14 14:52:00,自動停止,270
2026-04-14 14:56:30,自動起動,12
2026-04-14 14:56:41,パレチェン,10
2026-04-14 14:56:42,自動起動,508
2026-04-14 15:05:10,自動停止,1150
2026-04-14 15:24:20,自動起動,12
2026-04-14 15:24:31,パレチェン,10
2026-04-14 15:24:32,自動起動,518
2026-04-14 15:33:10,自動停止,1180
2026-04-14 15:52:50,自動起動,11
2026-04-14 15:53:00,パレチェン,10
2026-04-14 15:53:01,自動起動,509
2026-04-14 16:01:30,自動停止,6010
2026-04-14 17:41:40,自動起動,10
2026-04-14 17:41:50,自動停止,30
2026-04-14 17:42:20,段取り,150
2026-04-14 17:44:50,自動停止,10
2026-04-14 17:45:00,段取り,20
2026-04-14 17:45:20,自動停止,10
2026-04-14 17:45:30,段取り,10
2026-04-14 17:45:40,自動起動,10
2026-04-14 17:45:50,自動停止,10
2026-04-14 17:46:00,自動起動,10
2026-04-14 17:46:10,段取り,30
2026-04-14 17:46:40,自動停止,10
2026-04-14 17:46:50,自動起動,150
2026-04-14 17:49:20,段取り,10
2026-04-14 17:49:30,自動起動,70
2026-04-14 17:50:40,段取り,160
2026-04-14 17:53:20,自動停止,10
2026-04-14 17:53:30,自動起動,210
2026-04-14 17:57:00,自動停止,280
2026-04-14 18:01:40,段取り,70
2026-04-14 18:02:50,自動停止,470
2026-04-14 18:10:40,自動起動,70
2026-04-14 18:11:50,自動停止,40
2026-04-14 18:12:30,段取り,90
2026-04-14 18:14:00,自動停止,10
2026-04-14 18:14:10,自動起動,130
2026-04-14 18:16:20,自動停止,70
2026-04-14 18:17:30,自動起動,20
2026-04-14 18:17:50,自動停止,160
2026-04-14 18:20:30,自動起動,210
2026-04-14 18:24:00,自動停止,350
2026-04-14 18:29:50,段取り,60
2026-04-14 18:30:50,自動停止,80
2026-04-14 18:32:10,自動起動,310
2026-04-14 18:37:20,自動停止,180
2026-04-14 18:40:20,自動起動,630
2026-04-14 18:50:50,自動停止,10
2026-04-14 18:51:00,自動起動,470
2026-04-14 18:58:50,自動停止,40
2026-04-14 18:59:30,自動起動,630
2026-04-14 19:10:00,自動停止,70
2026-04-14 19:11:10,自動起動,4230
2026-04-14 20:21:40,自動停止,40
2026-04-14 20:22:20,自動起動,10
2026-04-14 20:22:30,自動停止,700
2026-04-14 20:34:10,段取り,330
2026-04-14 20:39:40,自動停止,10
2026-04-14 20:39:50,段取り,140
2026-04-14 20:42:10,自動起動,10
2026-04-14 20:42:20,自動停止,10
2026-04-14 20:42:30,段取り,90
2026-04-14 20:44:00,自動起動,80
2026-04-14 20:45:20,自動停止,10
2026-04-14 20:45:30,自動起動,110
2026-04-14 20:47:20,段取り,20
2026-04-14 20:47:40,自動起動,180
2026-04-14 20:50:40,自動停止,10
2026-04-14 20:50:50,自動起動,10
2026-04-14 20:51:00,自動停止,3630
2026-04-14 21:51:30,自動起動,20
2026-04-14 21:51:50,自動停止,10
2026-04-14 21:52:00,段取り,50
2026-04-14 21:52:50,自動停止,20
2026-04-14 21:53:10,段取り,10
2026-04-14 21:53:20,自動起動,370
2026-04-14 21:59:30,自動停止,200
2026-04-14 22:02:50,自動起動,360
2026-04-14 22:08:50,自動停止,120
2026-04-14 22:10:50,自動起動,370
2026-04-14 22:17:00,自動停止,110
2026-04-14 22:18:50,自動起動,360
2026-04-14 22:24:50,自動停止,330
2026-04-14 22:30:20,自動起動,10
2026-04-14 22:30:30,自動停止,340
2026-04-14 22:36:10,段取り,110
2026-04-14 22:38:00,自動停止,10
2026-04-14 22:38:10,自動起動,60
2026-04-14 22:39:10,自動停止,10
2026-04-14 22:39:20,自動起動,20
2026-04-14 22:39:40,自動停止,180
2026-04-14 22:42:40,自動起動,70
2026-04-14 22:43:50,自動停止,140
2026-04-14 22:46:10,自動起動,50
2026-04-14 22:47:00,自動停止,30
2026-04-14 22:47:30,自動起動,10
2026-04-14 22:47:40,自動停止,70
2026-04-14 22:48:50,自動起動,70
2026-04-14 22:50:00,自動停止,60
2026-04-14 22:51:00,自動起動,50
2026-04-14 22:51:50,自動停止,20
2026-04-14 22:52:10,自動起動,20
2026-04-14 22:52:30,自動停止,90
2026-04-14 22:54:00,自動起動,10
2026-04-14 22:54:10,自動停止,10
2026-04-14 22:54:20,段取り,270
2026-04-14 22:58:50,自動停止,10
2026-04-14 22:59:00,自動起動,7
2026-04-14 22:59:06,パレチェン,10
2026-04-14 22:59:07,自動起動,513
2026-04-14 23:07:40,自動停止,40
2026-04-14 23:08:20,自動起動,13
2026-04-14 23:08:32,パレチェン,10
2026-04-14 23:08:33,自動起動,516
2026-04-14 23:17:09,パレチェン,10
2026-04-14 23:17:09,自動起動,529
2026-04-14 23:25:57,パレチェン,10
2026-04-14 23:25:58,自動起動,518
2026-04-14 23:34:36,パレチェン,10
2026-04-14 23:34:36,自動起動,525
2026-04-14 23:43:20,パレチェン,10
2026-04-14 23:43:21,自動起動,516
2026-04-14 23:51:56,パレチェン,10
2026-04-14 23:51:57,自動起動,513
2026-04-15 00:00:30,自動停止,430
2026-04-15 00:07:40,自動起動,6
2026-04-15 00:07:45,パレチェン,10
2026-04-15 00:07:46,自動起動,515
2026-04-15 00:16:21,パレチェン,10
2026-04-15 00:16:21,自動起動,528
2026-04-15 00:25:08,パレチェン,10
2026-04-15 00:25:09,自動起動,518
2026-04-15 00:33:47,パレチェン,10
2026-04-15 00:33:47,自動起動,526
2026-04-15 00:42:32,パレチェン,10
2026-04-15 00:42:33,自動起動,514
2026-04-15 00:51:07,パレチェン,10
2026-04-15 00:51:07,自動起動,527
2026-04-15 00:59:54,パレチェン,10
2026-04-15 00:59:54,自動起動,518
2026-04-15 01:08:31,パレチェン,10
2026-04-15 01:08:32,自動起動,530
2026-04-15 01:17:21,パレチェン,10
2026-04-15 01:17:22,自動起動,519
2026-04-15 01:26:00,パレチェン,10
2026-04-15 01:26:01,自動起動,309
2026-04-15 01:31:10,電源断,218
2026-04-15 01:34:47,パレチェン,10
2026-04-15 01:34:48,電源断,11972
